Unnamed: 0,Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,TravelInsurance
1698,29,EMP_1,GRA_0,500000,4,0,FRE_0,EVE_0,0
694,34,EMP_0,GRA_0,1100000,6,1,FRE_0,EVE_0,1
1202,31,EMP_1,GRA_0,1400000,4,0,FRE_0,EVE_1,1
1134,31,EMP_1,GRA_0,1250000,7,0,FRE_0,EVE_0,1
1071,27,EMP_0,GRA_0,750000,8,0,FRE_0,EVE_0,0
3,28,EMP_1,GRA_0,700000,3,1,FRE_0,EVE_0,0
742,34,EMP_1,GRA_0,1050000,7,1,FRE_0,EVE_0,1
880,28,EMP_1,GRA_0,750000,6,0,FRE_1,EVE_0,0
1920,32,EMP_0,GRA_0,800000,5,0,FRE_0,EVE_0,0
1378,34,EMP_0,GRA_0,1300000,2,1,FRE_0,EVE_0,0
12,32,EMP_0,GRA_0,850000,6,0,FRE_0,EVE_0,1
1046,33,EMP_0,GRA_0,400000,5,1,FRE_0,EVE_0,0
805,29,EMP_1,GRA_0,1050000,3,1,FRE_1,EVE_0,0
862,28,EMP_0,GRA_0,300000,3,1,FRE_0,EVE_0,0
503,31,EMP_0,GRA_0,1300000,5,0,FRE_0,EVE_0,0
1948,35,EMP_1,GRA_1,800000,6,0,FRE_1,EVE_0,1
563,33,EMP_1,GRA_0,550000,3,1,FRE_0,EVE_0,1
457,25,EMP_1,GRA_1,1150000,4,0,FRE_0,EVE_0,0
1763,29,EMP_1,GRA_0,1050000,3,0,FRE_0,EVE_0,0
1799,26,EMP_0,GRA_0,1450000,3,0,FRE_1,EVE_1,1
617,30,EMP_1,GRA_1,550000,5,0,FRE_1,EVE_0,1
769,30,EMP_1,GRA_1,800000,3,0,FRE_0,EVE_0,0
511,31,EMP_1,GRA_0,1250000,3,0,FRE_0,EVE_1,0
1604,29,EMP_1,GRA_0,1050000,7,0,FRE_0,EVE_0,0
1415,31,EMP_0,GRA_0,1300000,3,1,FRE_0,EVE_0,1
508,28,EMP_1,GRA_0,900000,6,0,FRE_0,EVE_0,1
215,33,EMP_0,GRA_0,1100000,5,0,FRE_0,EVE_0,0
1923,26,EMP_1,GRA_0,750000,3,0,FRE_0,EVE_0,0
1361,26,EMP_1,GRA_0,1400000,4,0,FRE_0,EVE_1,1
605,28,EMP_1,GRA_0,1250000,5,0,FRE_0,EVE_1,1
1759,25,EMP_0,GRA_0,750000,2,0,FRE_1,EVE_0,0
1869,31,EMP_0,GRA_0,1500000,2,0,FRE_1,EVE_1,1
1319,26,EMP_1,GRA_0,600000,6,0,FRE_1,EVE_0,0
869,33,EMP_1,GRA_0,1400000,3,0,FRE_0,EVE_1,1
700,28,EMP_1,GRA_0,1450000,4,0,FRE_1,EVE_1,1
1406,33,EMP_0,GRA_0,1100000,4,0,FRE_0,EVE_0,0
43,28,EMP_1,GRA_0,1200000,4,0,FRE_1,EVE_0,1
891,29,EMP_1,GRA_0,1050000,5,1,FRE_0,EVE_0,0
259,33,EMP_0,GRA_0,400000,3,1,FRE_0,EVE_0,1
1469,28,EMP_0,GRA_0,300000,6,0,FRE_0,EVE_0,0
715,28,EMP_1,GRA_0,1200000,5,0,FRE_0,EVE_0,0
1118,33,EMP_0,GRA_0,1100000,2,0,FRE_1,EVE_0,0
1407,31,EMP_1,GRA_0,1250000,4,0,FRE_0,EVE_0,0
582,29,EMP_1,GRA_0,1100000,3,0,FRE_0,EVE_0,0
1169,25,EMP_1,GRA_0,1400000,7,0,FRE_0,EVE_1,1
431,28,EMP_1,GRA_0,500000,6,0,FRE_0,EVE_0,0
1563,31,EMP_1,GRA_0,1250000,7,0,FRE_0,EVE_0,0
1876,34,EMP_1,GRA_0,1500000,4,1,FRE_1,EVE_1,1
273,34,EMP_1,GRA_0,1000000,6,0,FRE_1,EVE_0,1
1804,28,EMP_1,GRA_0,1100000,5,0,FRE_0,EVE_0,0
6,31,EMP_0,GRA_0,1300000,4,0,FRE_0,EVE_0,0
1977,25,EMP_1,GRA_1,1350000,6,0,FRE_0,EVE_1,1
1713,28,EMP_1,GRA_0,800000,4,0,FRE_0,EVE_0,0
118,31,EMP_0,GRA_0,1500000,4,1,FRE_1,EVE_1,1
1605,26,EMP_1,GRA_0,450000,4,0,FRE_0,EVE_0,0
515,27,EMP_0,GRA_0,850000,7,0,FRE_1,EVE_0,0
955,34,EMP_1,GRA_0,1300000,6,0,FRE_0,EVE_0,1
1159,31,EMP_1,GRA_0,1250000,3,0,FRE_0,EVE_0,0
1274,34,EMP_1,GRA_0,1000000,3,0,FRE_0,EVE_0,0
190,27,EMP_0,GRA_0,900000,5,0,FRE_0,EVE_0,0
1851,28,EMP_1,GRA_1,550000,6,0,FRE_0,EVE_0,1
1476,33,EMP_1,GRA_0,1750000,6,0,FRE_0,EVE_0,1
1417,35,EMP_1,GRA_1,800000,5,0,FRE_0,EVE_0,0
289,26,EMP_1,GRA_0,500000,3,0,FRE_0,EVE_0,0
1478,28,EMP_0,GRA_0,1100000,4,1,FRE_0,EVE_0,0
1324,33,EMP_0,GRA_0,400000,9,1,FRE_0,EVE_0,1
1629,34,EMP_1,GRA_0,1000000,5,0,FRE_1,EVE_0,0
1273,29,EMP_1,GRA_0,1200000,4,0,FRE_1,EVE_0,0
80,26,EMP_1,GRA_0,1300000,4,1,FRE_0,EVE_0,0
1636,28,EMP_1,GRA_0,1400000,4,0,FRE_1,EVE_1,0
1839,32,EMP_0,GRA_0,350000,3,0,FRE_0,EVE_1,0
1873,34,EMP_1,GRA_0,1000000,3,0,FRE_0,EVE_0,0
1510,26,EMP_1,GRA_0,500000,3,0,FRE_0,EVE_0,0
1756,29,EMP_1,GRA_0,900000,3,0,FRE_0,EVE_0,1
530,29,EMP_1,GRA_0,900000,3,0,FRE_0,EVE_0,0
1517,26,EMP_1,GRA_0,1400000,4,1,FRE_0,EVE_1,1
340,27,EMP_1,GRA_1,800000,7,1,FRE_0,EVE_0,0
549,28,EMP_0,GRA_1,300000,5,1,FRE_0,EVE_0,0
46,25,EMP_1,GRA_0,1400000,4,0,FRE_0,EVE_1,1
789,28,EMP_1,GRA_0,750000,4,0,FRE_0,EVE_0,1
1526,30,EMP_1,GRA_1,550000,5,1,FRE_0,EVE_0,1
1805,29,EMP_1,GRA_0,1200000,4,0,FRE_0,EVE_0,0
1106,34,EMP_1,GRA_0,1300000,4,0,FRE_0,EVE_0,0
1266,33,EMP_1,GRA_0,1400000,8,1,FRE_0,EVE_1,1
1785,25,EMP_1,GRA_1,1150000,2,0,FRE_0,EVE_1,0
1449,29,EMP_1,GRA_0,1100000,4,1,FRE_0,EVE_0,0
1866,28,EMP_0,GRA_0,300000,7,1,FRE_0,EVE_0,0
660,28,EMP_0,GRA_0,300000,4,0,FRE_0,EVE_0,0
1345,28,EMP_1,GRA_0,700000,2,1,FRE_0,EVE_0,0
776,25,EMP_1,GRA_0,1400000,6,0,FRE_1,EVE_1,1
1816,34,EMP_1,GRA_0,1000000,3,0,FRE_1,EVE_0,0
1165,28,EMP_1,GRA_0,1150000,2,0,FRE_0,EVE_0,1
1956,32,EMP_0,GRA_0,350000,3,1,FRE_0,EVE_1,1
1088,28,EMP_1,GRA_0,1250000,9,1,FRE_0,EVE_0,0
61,32,EMP_0,GRA_0,800000,3,0,FRE_1,EVE_0,1
737,28,EMP_1,GRA_0,700000,4,1,FRE_0,EVE_0,1
1370,28,EMP_1,GRA_0,800000,6,0,FRE_0,EVE_0,0
795,32,EMP_0,GRA_0,350000,3,0,FRE_0,EVE_0,0
1649,28,EMP_1,GRA_0,1150000,4,1,FRE_0,EVE_0,0
1967,34,EMP_1,GRA_0,700000,3,1,FRE_0,EVE_0,0
263,35,EMP_1,GRA_1,800000,4,0,FRE_0,EVE_0,0
1694,31,EMP_0,GRA_0,400000,5,0,FRE_0,EVE_0,0
1440,34,EMP_1,GRA_0,850000,5,0,FRE_0,EVE_0,0
607,28,EMP_1,GRA_0,550000,8,1,FRE_0,EVE_0,0
676,29,EMP_1,GRA_0,1200000,7,1,FRE_0,EVE_0,0
338,28,EMP_1,GRA_0,600000,3,0,FRE_0,EVE_0,0
811,26,EMP_1,GRA_0,450000,3,0,FRE_0,EVE_0,0
686,33,EMP_1,GRA_0,1500000,3,0,FRE_1,EVE_1,1
41,33,EMP_1,GRA_0,550000,5,0,FRE_0,EVE_0,0
1360,34,EMP_1,GRA_0,1300000,2,0,FRE_0,EVE_0,0
1432,28,EMP_1,GRA_0,700000,3,0,FRE_0,EVE_0,1
52,31,EMP_1,GRA_0,1250000,4,0,FRE_0,EVE_1,0
149,28,EMP_1,GRA_0,800000,5,1,FRE_0,EVE_0,0
115,29,EMP_1,GRA_0,900000,4,0,FRE_0,EVE_0,0
630,28,EMP_1,GRA_0,1100000,9,0,FRE_0,EVE_0,0
1048,25,EMP_1,GRA_0,500000,5,1,FRE_0,EVE_0,0
796,28,EMP_0,GRA_0,300000,7,0,FRE_0,EVE_0,0
547,26,EMP_1,GRA_0,1400000,4,1,FRE_0,EVE_1,1
1287,34,EMP_1,GRA_0,500000,4,0,FRE_0,EVE_0,0
1715,28,EMP_1,GRA_0,800000,6,1,FRE_0,EVE_0,0
732,30,EMP_1,GRA_1,800000,4,0,FRE_0,EVE_0,0
1646,28,EMP_1,GRA_0,1250000,3,1,FRE_0,EVE_0,1
365,25,EMP_1,GRA_1,1700000,3,0,FRE_1,EVE_0,1
1578,27,EMP_0,GRA_0,500000,6,1,FRE_0,EVE_0,0
941,34,EMP_1,GRA_0,1000000,5,0,FRE_0,EVE_0,0
1823,25,EMP_1,GRA_0,1800000,6,0,FRE_1,EVE_0,1
403,28,EMP_1,GRA_0,800000,8,1,FRE_0,EVE_0,0
1729,35,EMP_0,GRA_0,900000,7,0,FRE_0,EVE_0,1
1981,27,EMP_0,GRA_0,850000,3,0,FRE_0,EVE_0,1
807,27,EMP_0,GRA_0,1050000,3,0,FRE_1,EVE_0,1
218,26,EMP_1,GRA_0,1500000,7,0,FRE_1,EVE_1,0
1016,29,EMP_1,GRA_0,350000,9,1,FRE_0,EVE_0,0
994,28,EMP_1,GRA_0,550000,6,1,FRE_0,EVE_0,0
1133,35,EMP_0,GRA_0,1100000,3,1,FRE_0,EVE_0,1
669,26,EMP_1,GRA_0,600000,3,0,FRE_1,EVE_0,0
154,28,EMP_1,GRA_0,700000,4,0,FRE_1,EVE_0,0
1522,31,EMP_0,GRA_1,400000,3,0,FRE_0,EVE_0,0
512,29,EMP_1,GRA_0,1100000,5,0,FRE_1,EVE_0,0
1150,28,EMP_1,GRA_0,600000,3,0,FRE_0,EVE_0,1
1105,26,EMP_0,GRA_0,1450000,7,0,FRE_1,EVE_1,1
430,26,EMP_1,GRA_0,1300000,7,0,FRE_0,EVE_0,1
1678,31,EMP_1,GRA_0,1350000,7,0,FRE_1,EVE_1,1
1055,25,EMP_1,GRA_0,1700000,5,0,FRE_1,EVE_0,1
151,29,EMP_1,GRA_0,1200000,7,0,FRE_0,EVE_0,1
1144,31,EMP_0,GRA_1,300000,4,0,FRE_0,EVE_0,0
125,29,EMP_1,GRA_0,500000,3,1,FRE_0,EVE_0,1
895,28,EMP_1,GRA_0,600000,5,0,FRE_0,EVE_1,1
66,30,EMP_1,GRA_1,800000,6,0,FRE_1,EVE_0,0
936,33,EMP_0,GRA_0,800000,3,0,FRE_0,EVE_0,0
671,29,EMP_1,GRA_0,1100000,3,1,FRE_0,EVE_0,0
1316,31,EMP_1,GRA_0,1400000,3,0,FRE_0,EVE_1,1
1887,31,EMP_1,GRA_0,900000,5,0,FRE_0,EVE_0,0
1049,29,EMP_1,GRA_0,900000,7,0,FRE_0,EVE_0,0
1671,29,EMP_1,GRA_0,1350000,8,0,FRE_0,EVE_1,1
307,28,EMP_1,GRA_0,1150000,8,1,FRE_0,EVE_0,0
620,29,EMP_1,GRA_0,1050000,4,0,FRE_1,EVE_0,0
1162,34,EMP_1,GRA_1,1400000,4,0,FRE_0,EVE_1,1
10,31,EMP_0,GRA_0,400000,9,1,FRE_0,EVE_0,0
1899,31,EMP_1,GRA_0,1250000,4,1,FRE_0,EVE_0,0
291,34,EMP_1,GRA_0,1300000,3,0,FRE_1,EVE_0,0
864,26,EMP_1,GRA_0,600000,6,0,FRE_1,EVE_0,0
590,28,EMP_1,GRA_0,500000,5,0,FRE_0,EVE_0,0
908,34,EMP_1,GRA_0,1300000,3,0,FRE_0,EVE_1,0
991,30,EMP_1,GRA_1,1450000,7,0,FRE_1,EVE_1,1
959,31,EMP_1,GRA_0,500000,6,0,FRE_0,EVE_0,0
209,25,EMP_1,GRA_1,1700000,3,1,FRE_1,EVE_0,0
735,28,EMP_0,GRA_0,300000,4,0,FRE_0,EVE_0,0
68,29,EMP_1,GRA_0,350000,4,0,FRE_0,EVE_0,0
768,34,EMP_1,GRA_0,1500000,5,0,FRE_1,EVE_1,1
1224,33,EMP_1,GRA_0,1400000,7,0,FRE_0,EVE_1,1
1959,28,EMP_1,GRA_1,550000,6,0,FRE_0,EVE_0,0
442,29,EMP_1,GRA_0,1100000,9,0,FRE_0,EVE_0,0
394,28,EMP_1,GRA_0,1200000,4,0,FRE_0,EVE_0,1
1676,27,EMP_0,GRA_0,1050000,7,0,FRE_0,EVE_0,1
36,31,EMP_0,GRA_1,300000,9,1,FRE_0,EVE_0,0
1098,28,EMP_1,GRA_0,1150000,6,1,FRE_0,EVE_0,0
1209,34,EMP_1,GRA_0,1500000,5,1,FRE_1,EVE_1,1
1466,29,EMP_1,GRA_0,1200000,7,0,FRE_0,EVE_0,0
682,26,EMP_1,GRA_0,1500000,5,1,FRE_1,EVE_1,1
1508,25,EMP_1,GRA_1,1700000,5,0,FRE_1,EVE_1,1
1659,29,EMP_1,GRA_0,500000,3,0,FRE_0,EVE_0,0
271,35,EMP_0,GRA_0,900000,3,1,FRE_0,EVE_0,0
522,35,EMP_1,GRA_1,800000,6,1,FRE_0,EVE_0,1
644,32,EMP_0,GRA_0,800000,4,0,FRE_0,EVE_0,0
1321,31,EMP_0,GRA_1,300000,7,0,FRE_0,EVE_0,0
782,28,EMP_1,GRA_0,1200000,4,0,FRE_0,EVE_0,0
483,28,EMP_1,GRA_0,1150000,4,0,FRE_0,EVE_0,0
1689,27,EMP_0,GRA_0,500000,5,0,FRE_0,EVE_0,0
1349,26,EMP_1,GRA_0,1400000,3,0,FRE_0,EVE_1,1
1301,28,EMP_1,GRA_1,550000,3,0,FRE_0,EVE_0,0
1344,25,EMP_1,GRA_0,1700000,3,0,FRE_1,EVE_0,1
1033,31,EMP_1,GRA_0,1250000,4,0,FRE_0,EVE_0,0
1750,28,EMP_1,GRA_0,700000,5,0,FRE_0,EVE_0,0
328,34,EMP_1,GRA_0,700000,6,0,FRE_1,EVE_1,1
385,34,EMP_1,GRA_0,1000000,5,0,FRE_0,EVE_0,0
238,29,EMP_1,GRA_0,600000,3,1,FRE_0,EVE_0,0
495,31,EMP_0,GRA_0,1200000,4,0,FRE_0,EVE_0,0
1216,27,EMP_1,GRA_1,800000,6,0,FRE_0,EVE_0,1
1264,31,EMP_0,GRA_0,400000,6,0,FRE_0,EVE_0,0
611,28,EMP_1,GRA_0,500000,6,1,FRE_0,EVE_0,0
1420,33,EMP_0,GRA_0,700000,3,0,FRE_0,EVE_0,0
756,28,EMP_0,GRA_1,300000,6,0,FRE_0,EVE_0,0
1430,25,EMP_1,GRA_0,1400000,6,0,FRE_0,EVE_1,1
1539,33,EMP_1,GRA_0,550000,7,1,FRE_1,EVE_0,1
471,26,EMP_1,GRA_0,1250000,3,0,FRE_0,EVE_0,0
112,30,EMP_1,GRA_1,800000,4,0,FRE_0,EVE_0,0
1193,34,EMP_1,GRA_1,950000,3,0,FRE_0,EVE_0,0
410,28,EMP_1,GRA_1,550000,4,0,FRE_0,EVE_0,0
863,29,EMP_1,GRA_0,1100000,3,0,FRE_0,EVE_0,0
1985,34,EMP_1,GRA_0,1000000,6,0,FRE_1,EVE_1,1
342,28,EMP_1,GRA_0,1100000,2,0,FRE_0,EVE_0,1
1491,26,EMP_1,GRA_0,1400000,7,1,FRE_1,EVE_1,1
77,31,EMP_0,GRA_1,400000,4,0,FRE_0,EVE_0,0
1374,28,EMP_0,GRA_0,300000,6,1,FRE_0,EVE_0,0
743,29,EMP_1,GRA_0,500000,6,0,FRE_0,EVE_0,0
536,30,EMP_1,GRA_1,500000,3,0,FRE_0,EVE_0,0
537,29,EMP_1,GRA_0,600000,8,1,FRE_0,EVE_0,1
1489,29,EMP_1,GRA_0,1350000,4,0,FRE_0,EVE_1,1
1577,28,EMP_0,GRA_1,300000,4,0,FRE_0,EVE_0,0
1727,28,EMP_1,GRA_0,1100000,4,0,FRE_0,EVE_0,0
1734,34,EMP_1,GRA_0,1050000,4,1,FRE_0,EVE_0,0
1380,28,EMP_1,GRA_0,500000,5,1,FRE_0,EVE_0,1
1212,34,EMP_1,GRA_1,1300000,5,0,FRE_0,EVE_0,0
1413,28,EMP_1,GRA_0,1150000,6,0,FRE_0,EVE_0,0
1696,28,EMP_1,GRA_0,800000,2,1,FRE_0,EVE_0,0
1241,33,EMP_0,GRA_0,1100000,8,0,FRE_0,EVE_0,1
907,26,EMP_1,GRA_0,1400000,6,0,FRE_0,EVE_1,1
445,27,EMP_0,GRA_0,1050000,6,1,FRE_0,EVE_0,0
1615,30,EMP_1,GRA_1,650000,5,0,FRE_0,EVE_0,0
1151,34,EMP_1,GRA_0,700000,7,0,FRE_0,EVE_0,1
163,32,EMP_0,GRA_0,350000,5,0,FRE_0,EVE_0,0
4,28,EMP_1,GRA_0,700000,8,1,FRE_1,EVE_0,0
623,28,EMP_1,GRA_0,1100000,3,0,FRE_0,EVE_0,0
1079,34,EMP_1,GRA_0,1000000,3,0,FRE_0,EVE_0,0
1166,34,EMP_1,GRA_0,1300000,3,0,FRE_0,EVE_0,0
364,31,EMP_0,GRA_0,1200000,6,0,FRE_0,EVE_0,0
1198,33,EMP_0,GRA_0,400000,4,0,FRE_0,EVE_0,0
245,28,EMP_1,GRA_0,1150000,3,0,FRE_0,EVE_0,0
1158,34,EMP_1,GRA_0,700000,2,0,FRE_0,EVE_0,0
635,28,EMP_1,GRA_1,550000,4,0,FRE_0,EVE_0,0
1791,28,EMP_1,GRA_0,1200000,5,0,FRE_0,EVE_0,0
822,29,EMP_1,GRA_0,1200000,4,0,FRE_0,EVE_0,0
1252,34,EMP_1,GRA_0,1050000,5,0,FRE_0,EVE_0,0
1395,35,EMP_0,GRA_0,1100000,2,1,FRE_0,EVE_0,0
1326,34,EMP_1,GRA_0,700000,5,0,FRE_0,EVE_0,0
1426,26,EMP_0,GRA_0,500000,6,1,FRE_0,EVE_0,0
1385,27,EMP_0,GRA_0,500000,4,0,FRE_0,EVE_0,0
873,32,EMP_0,GRA_0,350000,3,0,FRE_0,EVE_0,1
1609,27,EMP_0,GRA_0,500000,3,1,FRE_0,EVE_0,0
834,33,EMP_1,GRA_0,1400000,5,1,FRE_1,EVE_1,1
1675,33,EMP_1,GRA_0,750000,7,1,FRE_0,EVE_0,1
1847,28,EMP_0,GRA_0,1200000,3,0,FRE_0,EVE_0,1
932,27,EMP_0,GRA_0,1050000,5,1,FRE_0,EVE_0,1
285,33,EMP_1,GRA_0,750000,4,0,FRE_0,EVE_0,0
1240,28,EMP_1,GRA_0,700000,5,0,FRE_1,EVE_0,0
1114,33,EMP_0,GRA_0,1000000,3,0,FRE_0,EVE_1,0
1745,34,EMP_1,GRA_0,850000,4,0,FRE_0,EVE_1,0
1014,26,EMP_0,GRA_0,550000,5,0,FRE_0,EVE_0,1
578,34,EMP_1,GRA_0,1000000,4,0,FRE_0,EVE_0,0
1924,33,EMP_1,GRA_0,750000,3,1,FRE_0,EVE_0,0
1021,28,EMP_1,GRA_0,1150000,4,0,FRE_0,EVE_0,1
612,28,EMP_1,GRA_0,550000,9,0,FRE_0,EVE_0,0
545,26,EMP_1,GRA_0,600000,6,1,FRE_0,EVE_0,0
510,31,EMP_1,GRA_0,950000,5,0,FRE_0,EVE_0,0
324,28,EMP_0,GRA_0,300000,5,0,FRE_0,EVE_0,0
1423,33,EMP_1,GRA_0,550000,8,0,FRE_0,EVE_0,0
1551,28,EMP_1,GRA_0,1300000,6,0,FRE_0,EVE_0,0
1474,28,EMP_0,GRA_0,300000,5,1,FRE_0,EVE_0,0
489,30,EMP_1,GRA_1,800000,9,0,FRE_0,EVE_0,0
1112,35,EMP_1,GRA_1,800000,4,0,FRE_0,EVE_0,0
1156,28,EMP_1,GRA_0,1300000,6,0,FRE_0,EVE_0,1
1403,28,EMP_1,GRA_0,750000,2,0,FRE_0,EVE_0,1
1737,27,EMP_0,GRA_0,1050000,7,0,FRE_0,EVE_0,0
939,31,EMP_1,GRA_0,500000,8,0,FRE_0,EVE_0,1
744,29,EMP_1,GRA_0,1050000,5,1,FRE_0,EVE_1,0
456,26,EMP_1,GRA_0,1500000,5,1,FRE_1,EVE_1,1
1268,33,EMP_0,GRA_0,1000000,5,0,FRE_0,EVE_1,1
1122,34,EMP_1,GRA_0,700000,5,0,FRE_1,EVE_0,1
1343,26,EMP_1,GRA_0,1500000,5,1,FRE_1,EVE_1,1
1812,28,EMP_1,GRA_0,800000,6,0,FRE_0,EVE_1,0
