index,Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad
88,27,EMP_0,GRA_0,750000,8,0,FRE_0,EVE_0
89,28,EMP_1,GRA_0,700000,3,1,FRE_0,EVE_0
90,34,EMP_1,GRA_0,1050000,7,1,FRE_0,EVE_0
91,28,EMP_1,GRA_0,750000,6,0,FRE_1,EVE_0
92,32,EMP_0,GRA_0,800000,5,0,FRE_0,EVE_0
93,34,EMP_0,GRA_0,1300000,2,1,FRE_0,EVE_0
94,32,EMP_0,GRA_0,850000,6,0,FRE_0,EVE_0
95,33,EMP_0,GRA_0,400000,5,1,FRE_0,EVE_0
96,29,EMP_1,GRA_0,1050000,3,1,FRE_1,EVE_0
97,28,EMP_0,GRA_0,300000,3,1,FRE_0,EVE_0
98,31,EMP_0,GRA_0,1300000,5,0,FRE_0,EVE_0
99,35,EMP_1,GRA_1,800000,6,0,FRE_1,EVE_0
100,33,EMP_1,GRA_0,550000,3,1,FRE_0,EVE_0
101,25,EMP_1,GRA_1,1150000,4,0,FRE_0,EVE_0
102,29,EMP_1,GRA_0,1050000,3,0,FRE_0,EVE_0
103,26,EMP_0,GRA_0,1450000,3,0,FRE_1,EVE_1
104,30,EMP_1,GRA_1,550000,5,0,FRE_1,EVE_0
105,30,EMP_1,GRA_1,800000,3,0,FRE_0,EVE_0
106,31,EMP_1,GRA_0,1250000,3,0,FRE_0,EVE_1
107,29,EMP_1,GRA_0,1050000,7,0,FRE_0,EVE_0
108,31,EMP_0,GRA_0,1300000,3,1,FRE_0,EVE_0
109,28,EMP_1,GRA_0,900000,6,0,FRE_0,EVE_0
110,33,EMP_0,GRA_0,1100000,5,0,FRE_0,EVE_0
111,26,EMP_1,GRA_0,750000,3,0,FRE_0,EVE_0
112,26,EMP_1,GRA_0,1400000,4,0,FRE_0,EVE_1
113,28,EMP_1,GRA_0,1250000,5,0,FRE_0,EVE_1
114,25,EMP_0,GRA_0,750000,2,0,FRE_1,EVE_0
115,31,EMP_0,GRA_0,1500000,2,0,FRE_1,EVE_1
116,26,EMP_1,GRA_0,600000,6,0,FRE_1,EVE_0
117,33,EMP_1,GRA_0,1400000,3,0,FRE_0,EVE_1
118,28,EMP_1,GRA_0,1450000,4,0,FRE_1,EVE_1
119,33,EMP_0,GRA_0,1100000,4,0,FRE_0,EVE_0
120,28,EMP_1,GRA_0,1200000,4,0,FRE_1,EVE_0
121,29,EMP_1,GRA_0,1050000,5,1,FRE_0,EVE_0
122,33,EMP_0,GRA_0,400000,3,1,FRE_0,EVE_0
123,28,EMP_0,GRA_0,300000,6,0,FRE_0,EVE_0
124,28,EMP_1,GRA_0,1200000,5,0,FRE_0,EVE_0
125,33,EMP_0,GRA_0,1100000,2,0,FRE_1,EVE_0
126,31,EMP_1,GRA_0,1250000,4,0,FRE_0,EVE_0
127,29,EMP_1,GRA_0,1100000,3,0,FRE_0,EVE_0
128,25,EMP_1,GRA_0,1400000,7,0,FRE_0,EVE_1
129,28,EMP_1,GRA_0,500000,6,0,FRE_0,EVE_0
130,31,EMP_1,GRA_0,1250000,7,0,FRE_0,EVE_0
131,34,EMP_1,GRA_0,1500000,4,1,FRE_1,EVE_1
132,34,EMP_1,GRA_0,1000000,6,0,FRE_1,EVE_0
133,28,EMP_1,GRA_0,1100000,5,0,FRE_0,EVE_0
134,31,EMP_0,GRA_0,1300000,4,0,FRE_0,EVE_0
135,25,EMP_1,GRA_1,1350000,6,0,FRE_0,EVE_1
136,28,EMP_1,GRA_0,800000,4,0,FRE_0,EVE_0
137,31,EMP_0,GRA_0,1500000,4,1,FRE_1,EVE_1
138,26,EMP_1,GRA_0,450000,4,0,FRE_0,EVE_0
139,27,EMP_0,GRA_0,850000,7,0,FRE_1,EVE_0
140,34,EMP_1,GRA_0,1300000,6,0,FRE_0,EVE_0
141,31,EMP_1,GRA_0,1250000,3,0,FRE_0,EVE_0
142,34,EMP_1,GRA_0,1000000,3,0,FRE_0,EVE_0
143,27,EMP_0,GRA_0,900000,5,0,FRE_0,EVE_0
144,28,EMP_1,GRA_1,550000,6,0,FRE_0,EVE_0
145,33,EMP_1,GRA_0,1750000,6,0,FRE_0,EVE_0
146,35,EMP_1,GRA_1,800000,5,0,FRE_0,EVE_0
147,26,EMP_1,GRA_0,500000,3,0,FRE_0,EVE_0
148,28,EMP_0,GRA_0,1100000,4,1,FRE_0,EVE_0
149,33,EMP_0,GRA_0,400000,9,1,FRE_0,EVE_0
150,34,EMP_1,GRA_0,1000000,5,0,FRE_1,EVE_0
151,29,EMP_1,GRA_0,1200000,4,0,FRE_1,EVE_0
152,26,EMP_1,GRA_0,1300000,4,1,FRE_0,EVE_0
153,28,EMP_1,GRA_0,1400000,4,0,FRE_1,EVE_1
154,32,EMP_0,GRA_0,350000,3,0,FRE_0,EVE_1
155,34,EMP_1,GRA_0,1000000,3,0,FRE_0,EVE_0
156,26,EMP_1,GRA_0,500000,3,0,FRE_0,EVE_0
157,29,EMP_1,GRA_0,900000,3,0,FRE_0,EVE_0
158,29,EMP_1,GRA_0,900000,3,0,FRE_0,EVE_0
159,26,EMP_1,GRA_0,1400000,4,1,FRE_0,EVE_1
160,27,EMP_1,GRA_1,800000,7,1,FRE_0,EVE_0
161,28,EMP_0,GRA_1,300000,5,1,FRE_0,EVE_0
162,25,EMP_1,GRA_0,1400000,4,0,FRE_0,EVE_1
163,28,EMP_1,GRA_0,750000,4,0,FRE_0,EVE_0
164,30,EMP_1,GRA_1,550000,5,1,FRE_0,EVE_0
165,29,EMP_1,GRA_0,1200000,4,0,FRE_0,EVE_0
166,34,EMP_1,GRA_0,1300000,4,0,FRE_0,EVE_0
167,33,EMP_1,GRA_0,1400000,8,1,FRE_0,EVE_1
168,25,EMP_1,GRA_1,1150000,2,0,FRE_0,EVE_1
169,29,EMP_1,GRA_0,1100000,4,1,FRE_0,EVE_0
170,28,EMP_0,GRA_0,300000,7,1,FRE_0,EVE_0
171,28,EMP_0,GRA_0,300000,4,0,FRE_0,EVE_0
172,28,EMP_1,GRA_0,700000,2,1,FRE_0,EVE_0
173,25,EMP_1,GRA_0,1400000,6,0,FRE_1,EVE_1
174,34,EMP_1,GRA_0,1000000,3,0,FRE_1,EVE_0
175,28,EMP_1,GRA_0,1150000,2,0,FRE_0,EVE_0
176,32,EMP_0,GRA_0,350000,3,1,FRE_0,EVE_1
177,28,EMP_1,GRA_0,1250000,9,1,FRE_0,EVE_0
178,32,EMP_0,GRA_0,800000,3,0,FRE_1,EVE_0
179,28,EMP_1,GRA_0,700000,4,1,FRE_0,EVE_0
180,28,EMP_1,GRA_0,800000,6,0,FRE_0,EVE_0
181,32,EMP_0,GRA_0,350000,3,0,FRE_0,EVE_0
182,28,EMP_1,GRA_0,1150000,4,1,FRE_0,EVE_0
183,34,EMP_1,GRA_0,700000,3,1,FRE_0,EVE_0
184,35,EMP_1,GRA_1,800000,4,0,FRE_0,EVE_0
185,31,EMP_0,GRA_0,400000,5,0,FRE_0,EVE_0
186,34,EMP_1,GRA_0,850000,5,0,FRE_0,EVE_0
187,28,EMP_1,GRA_0,550000,8,1,FRE_0,EVE_0
188,29,EMP_1,GRA_0,1200000,7,1,FRE_0,EVE_0
189,28,EMP_1,GRA_0,600000,3,0,FRE_0,EVE_0
190,26,EMP_1,GRA_0,450000,3,0,FRE_0,EVE_0
191,33,EMP_1,GRA_0,1500000,3,0,FRE_1,EVE_1
192,33,EMP_1,GRA_0,550000,5,0,FRE_0,EVE_0
193,34,EMP_1,GRA_0,1300000,2,0,FRE_0,EVE_0
194,28,EMP_1,GRA_0,700000,3,0,FRE_0,EVE_0
195,31,EMP_1,GRA_0,1250000,4,0,FRE_0,EVE_1
196,28,EMP_1,GRA_0,800000,5,1,FRE_0,EVE_0
197,29,EMP_1,GRA_0,900000,4,0,FRE_0,EVE_0
198,28,EMP_1,GRA_0,1100000,9,0,FRE_0,EVE_0
199,25,EMP_1,GRA_0,500000,5,1,FRE_0,EVE_0
200,28,EMP_0,GRA_0,300000,7,0,FRE_0,EVE_0
201,26,EMP_1,GRA_0,1400000,4,1,FRE_0,EVE_1
202,34,EMP_1,GRA_0,500000,4,0,FRE_0,EVE_0
203,28,EMP_1,GRA_0,800000,6,1,FRE_0,EVE_0
204,30,EMP_1,GRA_1,800000,4,0,FRE_0,EVE_0
205,28,EMP_1,GRA_0,1250000,3,1,FRE_0,EVE_0
206,25,EMP_1,GRA_1,1700000,3,0,FRE_1,EVE_0
207,27,EMP_0,GRA_0,500000,6,1,FRE_0,EVE_0
208,34,EMP_1,GRA_0,1000000,5,0,FRE_0,EVE_0
209,25,EMP_1,GRA_0,1800000,6,0,FRE_1,EVE_0
210,28,EMP_1,GRA_0,800000,8,1,FRE_0,EVE_0
211,35,EMP_0,GRA_0,900000,7,0,FRE_0,EVE_0
212,27,EMP_0,GRA_0,850000,3,0,FRE_0,EVE_0
213,27,EMP_0,GRA_0,1050000,3,0,FRE_1,EVE_0
214,26,EMP_1,GRA_0,1500000,7,0,FRE_1,EVE_1
215,29,EMP_1,GRA_0,350000,9,1,FRE_0,EVE_0
216,28,EMP_1,GRA_0,550000,6,1,FRE_0,EVE_0
217,35,EMP_0,GRA_0,1100000,3,1,FRE_0,EVE_0
218,26,EMP_1,GRA_0,600000,3,0,FRE_1,EVE_0
219,28,EMP_1,GRA_0,700000,4,0,FRE_1,EVE_0
220,31,EMP_0,GRA_1,400000,3,0,FRE_0,EVE_0
221,29,EMP_1,GRA_0,1100000,5,0,FRE_1,EVE_0
222,28,EMP_1,GRA_0,600000,3,0,FRE_0,EVE_0
223,26,EMP_0,GRA_0,1450000,7,0,FRE_1,EVE_1
224,26,EMP_1,GRA_0,1300000,7,0,FRE_0,EVE_0
225,31,EMP_1,GRA_0,1350000,7,0,FRE_1,EVE_1
226,25,EMP_1,GRA_0,1700000,5,0,FRE_1,EVE_0
227,29,EMP_1,GRA_0,1200000,7,0,FRE_0,EVE_0
228,31,EMP_0,GRA_1,300000,4,0,FRE_0,EVE_0
229,29,EMP_1,GRA_0,500000,3,1,FRE_0,EVE_0
230,28,EMP_1,GRA_0,600000,5,0,FRE_0,EVE_1
231,30,EMP_1,GRA_1,800000,6,0,FRE_1,EVE_0
232,33,EMP_0,GRA_0,800000,3,0,FRE_0,EVE_0
233,29,EMP_1,GRA_0,1100000,3,1,FRE_0,EVE_0
234,31,EMP_1,GRA_0,1400000,3,0,FRE_0,EVE_1
235,31,EMP_1,GRA_0,900000,5,0,FRE_0,EVE_0
236,29,EMP_1,GRA_0,900000,7,0,FRE_0,EVE_0
237,29,EMP_1,GRA_0,1350000,8,0,FRE_0,EVE_1
238,28,EMP_1,GRA_0,1150000,8,1,FRE_0,EVE_0
239,29,EMP_1,GRA_0,1050000,4,0,FRE_1,EVE_0
240,34,EMP_1,GRA_1,1400000,4,0,FRE_0,EVE_1
241,31,EMP_0,GRA_0,400000,9,1,FRE_0,EVE_0
242,31,EMP_1,GRA_0,1250000,4,1,FRE_0,EVE_0
243,34,EMP_1,GRA_0,1300000,3,0,FRE_1,EVE_0
244,26,EMP_1,GRA_0,600000,6,0,FRE_1,EVE_0
245,28,EMP_1,GRA_0,500000,5,0,FRE_0,EVE_0
246,34,EMP_1,GRA_0,1300000,3,0,FRE_0,EVE_1
247,30,EMP_1,GRA_1,1450000,7,0,FRE_1,EVE_1
248,31,EMP_1,GRA_0,500000,6,0,FRE_0,EVE_0
249,25,EMP_1,GRA_1,1700000,3,1,FRE_1,EVE_0
250,28,EMP_0,GRA_0,300000,4,0,FRE_0,EVE_0
251,29,EMP_1,GRA_0,350000,4,0,FRE_0,EVE_0
252,34,EMP_1,GRA_0,1500000,5,0,FRE_1,EVE_1
253,33,EMP_1,GRA_0,1400000,7,0,FRE_0,EVE_1
254,28,EMP_1,GRA_1,550000,6,0,FRE_0,EVE_0
255,29,EMP_1,GRA_0,1100000,9,0,FRE_0,EVE_0
256,28,EMP_1,GRA_0,1200000,4,0,FRE_0,EVE_0
257,27,EMP_0,GRA_0,1050000,7,0,FRE_0,EVE_0
258,31,EMP_0,GRA_1,300000,9,1,FRE_0,EVE_0
259,28,EMP_1,GRA_0,1150000,6,1,FRE_0,EVE_0
260,34,EMP_1,GRA_0,1500000,5,1,FRE_1,EVE_1
261,29,EMP_1,GRA_0,1200000,7,0,FRE_0,EVE_0
262,26,EMP_1,GRA_0,1500000,5,1,FRE_1,EVE_1
263,25,EMP_1,GRA_1,1700000,5,0,FRE_1,EVE_1
264,29,EMP_1,GRA_0,500000,3,0,FRE_0,EVE_0
265,35,EMP_0,GRA_0,900000,3,1,FRE_0,EVE_0
266,35,EMP_1,GRA_1,800000,6,1,FRE_0,EVE_0
267,32,EMP_0,GRA_0,800000,4,0,FRE_0,EVE_0
268,31,EMP_0,GRA_1,300000,7,0,FRE_0,EVE_0
269,28,EMP_1,GRA_0,1200000,4,0,FRE_0,EVE_0
270,28,EMP_1,GRA_0,1150000,4,0,FRE_0,EVE_0
271,27,EMP_0,GRA_0,500000,5,0,FRE_0,EVE_0
272,26,EMP_1,GRA_0,1400000,3,0,FRE_0,EVE_1
273,28,EMP_1,GRA_1,550000,3,0,FRE_0,EVE_0
274,25,EMP_1,GRA_0,1700000,3,0,FRE_1,EVE_0
275,31,EMP_1,GRA_0,1250000,4,0,FRE_0,EVE_0
276,28,EMP_1,GRA_0,700000,5,0,FRE_0,EVE_0
277,34,EMP_1,GRA_0,700000,6,0,FRE_1,EVE_1
278,34,EMP_1,GRA_0,1000000,5,0,FRE_0,EVE_0
279,29,EMP_1,GRA_0,600000,3,1,FRE_0,EVE_0
280,31,EMP_0,GRA_0,1200000,4,0,FRE_0,EVE_0
281,27,EMP_1,GRA_1,800000,6,0,FRE_0,EVE_0
282,31,EMP_0,GRA_0,400000,6,0,FRE_0,EVE_0
283,28,EMP_1,GRA_0,500000,6,1,FRE_0,EVE_0
284,33,EMP_0,GRA_0,700000,3,0,FRE_0,EVE_0
285,28,EMP_0,GRA_1,300000,6,0,FRE_0,EVE_0
286,25,EMP_1,GRA_0,1400000,6,0,FRE_0,EVE_1
287,33,EMP_1,GRA_0,550000,7,1,FRE_1,EVE_0
288,26,EMP_1,GRA_0,1250000,3,0,FRE_0,EVE_0
289,30,EMP_1,GRA_1,800000,4,0,FRE_0,EVE_0
290,34,EMP_1,GRA_1,950000,3,0,FRE_0,EVE_0
291,28,EMP_1,GRA_1,550000,4,0,FRE_0,EVE_0
292,29,EMP_1,GRA_0,1100000,3,0,FRE_0,EVE_0
293,34,EMP_1,GRA_0,1000000,6,0,FRE_1,EVE_1
294,28,EMP_1,GRA_0,1100000,2,0,FRE_0,EVE_0
295,26,EMP_1,GRA_0,1400000,7,1,FRE_1,EVE_1
296,31,EMP_0,GRA_1,400000,4,0,FRE_0,EVE_0
297,28,EMP_0,GRA_0,300000,6,1,FRE_0,EVE_0
298,29,EMP_1,GRA_0,500000,6,0,FRE_0,EVE_0
299,30,EMP_1,GRA_1,500000,3,0,FRE_0,EVE_0
300,29,EMP_1,GRA_0,600000,8,1,FRE_0,EVE_0
301,29,EMP_1,GRA_0,1350000,4,0,FRE_0,EVE_1
302,28,EMP_0,GRA_1,300000,4,0,FRE_0,EVE_0
303,28,EMP_1,GRA_0,1100000,4,0,FRE_0,EVE_0
304,34,EMP_1,GRA_0,1050000,4,1,FRE_0,EVE_0
305,28,EMP_1,GRA_0,500000,5,1,FRE_0,EVE_0
306,34,EMP_1,GRA_1,1300000,5,0,FRE_0,EVE_0
307,28,EMP_1,GRA_0,1150000,6,0,FRE_0,EVE_0
308,28,EMP_1,GRA_0,800000,2,1,FRE_0,EVE_0
309,33,EMP_0,GRA_0,1100000,8,0,FRE_0,EVE_0
310,26,EMP_1,GRA_0,1400000,6,0,FRE_0,EVE_1
311,27,EMP_0,GRA_0,1050000,6,1,FRE_0,EVE_0
312,30,EMP_1,GRA_1,650000,5,0,FRE_0,EVE_0
313,34,EMP_1,GRA_0,700000,7,0,FRE_0,EVE_0
314,32,EMP_0,GRA_0,350000,5,0,FRE_0,EVE_0
315,28,EMP_1,GRA_0,700000,8,1,FRE_1,EVE_0
316,28,EMP_1,GRA_0,1100000,3,0,FRE_0,EVE_0
317,34,EMP_1,GRA_0,1000000,3,0,FRE_0,EVE_0
318,34,EMP_1,GRA_0,1300000,3,0,FRE_0,EVE_0
319,31,EMP_0,GRA_0,1200000,6,0,FRE_0,EVE_0
320,33,EMP_0,GRA_0,400000,4,0,FRE_0,EVE_0
321,28,EMP_1,GRA_0,1150000,3,0,FRE_0,EVE_0
322,34,EMP_1,GRA_0,700000,2,0,FRE_0,EVE_0
323,28,EMP_1,GRA_1,550000,4,0,FRE_0,EVE_0
324,28,EMP_1,GRA_0,1200000,5,0,FRE_0,EVE_0
325,29,EMP_1,GRA_0,1200000,4,0,FRE_0,EVE_0
326,34,EMP_1,GRA_0,1050000,5,0,FRE_0,EVE_0
327,35,EMP_0,GRA_0,1100000,2,1,FRE_0,EVE_0
328,34,EMP_1,GRA_0,700000,5,0,FRE_0,EVE_0
329,26,EMP_0,GRA_0,500000,6,1,FRE_0,EVE_0
330,27,EMP_0,GRA_0,500000,4,0,FRE_0,EVE_0
331,32,EMP_0,GRA_0,350000,3,0,FRE_0,EVE_0
332,27,EMP_0,GRA_0,500000,3,1,FRE_0,EVE_0
333,33,EMP_1,GRA_0,1400000,5,1,FRE_1,EVE_1
334,33,EMP_1,GRA_0,750000,7,1,FRE_0,EVE_0
335,28,EMP_0,GRA_0,1200000,3,0,FRE_0,EVE_0
336,27,EMP_0,GRA_0,1050000,5,1,FRE_0,EVE_0
337,33,EMP_1,GRA_0,750000,4,0,FRE_0,EVE_0
338,28,EMP_1,GRA_0,700000,5,0,FRE_1,EVE_0
339,33,EMP_0,GRA_0,1000000,3,0,FRE_0,EVE_1
340,34,EMP_1,GRA_0,850000,4,0,FRE_0,EVE_1
341,26,EMP_0,GRA_0,550000,5,0,FRE_0,EVE_0
342,34,EMP_1,GRA_0,1000000,4,0,FRE_0,EVE_0
343,33,EMP_1,GRA_0,750000,3,1,FRE_0,EVE_0
344,28,EMP_1,GRA_0,1150000,4,0,FRE_0,EVE_0
345,28,EMP_1,GRA_0,550000,9,0,FRE_0,EVE_0
346,26,EMP_1,GRA_0,600000,6,1,FRE_0,EVE_0
347,31,EMP_1,GRA_0,950000,5,0,FRE_0,EVE_0
348,28,EMP_0,GRA_0,300000,5,0,FRE_0,EVE_0
349,33,EMP_1,GRA_0,550000,8,0,FRE_0,EVE_0
350,28,EMP_1,GRA_0,1300000,6,0,FRE_0,EVE_0
351,28,EMP_0,GRA_0,300000,5,1,FRE_0,EVE_0
352,30,EMP_1,GRA_1,800000,9,0,FRE_0,EVE_0
353,35,EMP_1,GRA_1,800000,4,0,FRE_0,EVE_0
354,28,EMP_1,GRA_0,1300000,6,0,FRE_0,EVE_0
355,28,EMP_1,GRA_0,750000,2,0,FRE_0,EVE_0
356,27,EMP_0,GRA_0,1050000,7,0,FRE_0,EVE_0
357,31,EMP_1,GRA_0,500000,8,0,FRE_0,EVE_0
358,29,EMP_1,GRA_0,1050000,5,1,FRE_0,EVE_1
359,26,EMP_1,GRA_0,1500000,5,1,FRE_1,EVE_1
360,33,EMP_0,GRA_0,1000000,5,0,FRE_0,EVE_1
361,34,EMP_1,GRA_0,700000,5,0,FRE_1,EVE_0
362,26,EMP_1,GRA_0,1500000,5,1,FRE_1,EVE_1
363,28,EMP_1,GRA_0,800000,6,0,FRE_0,EVE_1
364,25,EMP_1,GRA_1,1150000,4,0,FRE_1,EVE_0
365,31,EMP_0,GRA_1,1750000,2,0,FRE_0,EVE_0
366,34,EMP_1,GRA_0,500000,5,0,FRE_0,EVE_0
367,26,EMP_1,GRA_0,1400000,4,1,FRE_0,EVE_1
368,35,EMP_1,GRA_1,800000,4,0,FRE_0,EVE_0
369,28,EMP_1,GRA_0,550000,4,0,FRE_0,EVE_0
370,31,EMP_1,GRA_0,500000,4,1,FRE_0,EVE_0
371,27,EMP_0,GRA_0,750000,5,0,FRE_0,EVE_0
372,30,EMP_1,GRA_1,550000,3,0,FRE_0,EVE_0
373,31,EMP_1,GRA_0,1350000,9,1,FRE_0,EVE_1
374,33,EMP_1,GRA_0,1500000,4,0,FRE_1,EVE_1
375,27,EMP_0,GRA_0,1050000,5,0,FRE_1,EVE_0
376,32,EMP_0,GRA_0,800000,6,0,FRE_0,EVE_0
377,28,EMP_1,GRA_0,800000,5,0,FRE_1,EVE_0
378,26,EMP_1,GRA_0,600000,7,1,FRE_0,EVE_0
379,25,EMP_1,GRA_0,1700000,3,0,FRE_1,EVE_0
380,29,EMP_1,GRA_0,500000,6,0,FRE_0,EVE_0
381,30,EMP_1,GRA_1,650000,6,0,FRE_1,EVE_0
382,31,EMP_1,GRA_0,1350000,3,0,FRE_1,EVE_1
383,28,EMP_0,GRA_0,300000,3,0,FRE_0,EVE_0
384,27,EMP_0,GRA_0,850000,6,0,FRE_0,EVE_0
385,34,EMP_1,GRA_0,1050000,5,0,FRE_0,EVE_0
386,33,EMP_1,GRA_0,1500000,3,1,FRE_1,EVE_1
387,34,EMP_0,GRA_0,1300000,4,0,FRE_0,EVE_0
388,28,EMP_1,GRA_0,800000,3,0,FRE_0,EVE_0
389,29,EMP_1,GRA_0,1200000,8,0,FRE_0,EVE_0
