ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
78,192,25,50,30,0,0,100,-7,5,8,24,1,42,-7,5,0,49,-8,3,3,4,61,RIS_1
65,267,6,127,31,0,0,91,65,6,7,15,3,32,0,1,1,71,76,8,3,1,90,RIS_1
75,258,3,52,25,1,0,97,70,6,6,23,0,33,8,3,2,50,-6,2,4,2,74,RIS_1
85,265,1,111,30,0,0,95,-7,6,8,17,2,28,0,1,1,10,-7,1,4,1,74,RIS_1
84,130,4,56,68,0,0,100,-7,7,8,26,3,38,1,1,1,27,88,5,2,2,81,RIS_1
89,175,2,53,12,0,0,100,-7,7,8,12,3,18,8,1,2,3,15,3,-8,0,39,RIS_1
90,139,4,50,32,0,0,100,-7,7,8,45,1,21,0,1,1,-1,80,5,2,0,58,RIS_1
90,198,84,72,32,0,0,100,-7,7,8,14,2,34,15,1,1,-3,-9,8,1,0,39,RIS_1
63,167,6,99,23,1,1,87,3,3,2,14,1,68,-7,0,0,10,55,2,1,1,100,RIS_1
83,150,5,74,45,0,0,100,25,6,8,12,2,9,0,1,1,4,-7,3,4,0,77,RIS_1
60,156,19,98,25,2,0,93,41,6,6,18,1,37,-7,1,0,3,-9,5,2,1,31,RIS_1
90,62,4,88,36,0,0,100,-7,7,8,37,4,51,-7,1,1,29,-9,2,2,2,80,RIS_1
67,302,1,58,32,0,0,95,4,6,6,21,2,56,0,2,0,20,50,5,3,6,84,RIS_1
88,164,5,39,16,0,0,100,-7,7,8,18,2,45,-7,1,0,30,16,1,2,0,25,RIS_1
89,174,7,52,23,0,0,100,-6,7,8,27,2,20,-7,1,1,0,93,5,2,0,33,RIS_1
65,386,4,101,45,8,0,98,41,6,5,23,1,30,-7,1,1,14,-8,6,2,0,66,RIS_1
77,133,3,120,44,0,0,93,24,6,6,19,4,31,0,1,0,60,83,1,3,0,69,RIS_1
90,185,40,44,18,0,0,100,-7,7,8,8,2,53,-7,1,1,-3,63,2,2,4,32,RIS_1
83,163,7,112,48,0,0,100,24,6,6,16,0,35,-7,0,1,4,-9,2,3,0,2,RIS_1
72,222,7,80,21,0,0,96,41,6,6,44,4,54,4,2,0,45,61,3,2,0,65,RIS_1
81,108,55,42,22,0,0,100,-6,7,8,16,0,20,2,0,3,4,21,0,2,0,50,RIS_1
69,172,6,95,57,0,0,100,-7,7,8,24,0,30,8,0,1,38,83,4,2,0,74,RIS_1
77,196,0,48,52,0,0,100,66,7,8,33,4,34,2,2,3,36,68,2,2,0,42,RIS_1
80,168,11,80,48,0,0,92,39,6,6,25,1,31,0,0,1,14,-9,7,2,0,46,RIS_1
83,178,12,21,32,0,0,97,-7,7,8,31,4,34,7,2,1,9,53,2,2,0,72,RIS_1
88,171,15,32,19,0,0,100,-7,7,8,11,0,31,-7,1,1,0,66,2,2,2,37,RIS_1
86,325,7,47,38,0,0,100,-7,7,8,20,4,49,4,2,0,8,68,2,4,1,78,RIS_1
75,138,2,99,21,0,0,100,-7,7,8,41,3,34,0,1,3,82,20,4,4,1,19,RIS_1
94,87,2,77,21,0,0,100,-6,7,8,25,2,28,-7,1,1,62,-8,2,-8,0,75,RIS_1
88,290,37,76,14,0,0,100,-7,7,8,11,1,25,-7,1,0,2,53,2,3,0,61,RIS_1
86,204,9,71,27,0,0,100,-7,7,8,14,0,17,4,1,1,-4,-9,11,2,0,92,RIS_1
88,177,2,30,27,0,0,100,-6,7,8,1,2,39,-7,1,1,8,91,2,2,1,83,RIS_1
92,61,38,48,7,0,0,100,-6,7,8,8,0,33,-8,1,1,0,53,2,-8,1,17,RIS_1
80,298,6,37,25,0,0,100,-7,7,8,20,0,37,-7,1,1,17,80,1,-9,0,50,RIS_1
80,288,32,50,33,0,0,100,-7,7,8,31,1,42,4,1,1,0,96,4,-8,0,73,RIS_1
80,75,15,51,23,0,0,100,-7,7,8,21,3,52,-7,1,1,6,14,1,2,0,77,RIS_1
81,293,8,81,36,1,0,100,4,4,6,25,1,19,1,2,0,4,76,3,3,0,74,RIS_1
88,195,5,62,22,0,0,100,-7,7,8,10,3,19,-7,2,3,4,57,2,2,0,49,RIS_1
59,208,20,48,16,2,1,85,2,6,4,9,0,38,6,0,4,3,-7,2,1,0,72,RIS_1
72,69,10,41,27,1,0,97,16,4,5,30,0,32,4,0,4,36,80,3,7,0,79,RIS_1
73,367,1,45,36,0,0,100,54,5,6,19,2,32,-7,2,1,6,56,9,2,0,75,RIS_1
76,300,7,49,45,0,0,100,-7,7,8,21,4,25,3,1,3,22,81,5,2,2,63,RIS_1
89,167,27,90,38,0,0,100,-7,7,8,16,3,31,22,1,1,0,87,1,2,0,49,RIS_1
90,151,42,95,17,0,0,100,-7,7,8,10,0,20,17,1,0,-1,-9,2,3,0,78,RIS_1
90,73,49,43,30,0,0,100,-7,7,8,22,2,45,-8,1,1,-9,-8,5,2,2,9,RIS_1
73,175,14,87,32,0,0,100,-7,7,8,19,8,14,-8,1,3,32,94,1,3,1,77,RIS_1
66,313,9,101,9,1,0,94,27,4,6,13,0,21,0,0,0,20,-8,0,1,1,80,RIS_1
70,347,4,77,30,0,0,91,40,6,8,10,3,43,-7,6,1,5,56,3,5,1,56,RIS_1
91,55,4,92,13,0,0,100,-7,7,8,17,3,36,2,0,1,21,85,2,2,3,42,RIS_1
66,344,4,69,64,0,0,92,67,6,6,28,1,49,0,0,3,55,-8,5,2,2,87,RIS_1
85,186,16,84,33,0,0,100,-6,7,8,39,3,34,1,1,1,-3,49,2,2,0,74,RIS_1
89,108,7,58,46,0,0,100,-7,7,8,20,1,21,14,0,1,41,50,7,2,0,76,RIS_1
62,209,20,121,34,1,0,93,21,6,6,19,1,22,-7,0,0,35,-7,2,-8,0,71,RIS_1
85,258,6,115,3,0,0,100,-7,7,8,11,2,51,-7,0,0,6,91,4,2,0,44,RIS_1
90,249,6,111,20,1,0,100,-7,7,8,12,0,52,0,1,3,1,-8,7,4,2,44,RIS_1
72,74,6,118,34,0,0,93,35,2,6,26,1,53,0,0,0,3,15,2,2,1,60,RIS_1
67,193,6,42,7,0,0,96,30,3,2,41,4,20,4,6,0,1,-8,1,5,0,68,RIS_1
83,70,5,88,41,0,0,100,-7,7,8,25,2,46,-7,1,1,6,17,3,2,0,43,RIS_1
61,275,9,55,5,0,0,92,-7,6,8,18,0,19,-7,5,1,11,96,1,1,1,87,RIS_1
65,193,2,41,21,0,0,100,-7,7,8,45,3,33,-7,0,7,51,79,9,2,0,81,RIS_1
92,158,4,53,17,0,0,100,-6,7,8,15,2,9,-7,1,2,-1,-8,2,2,0,25,RIS_1
90,217,4,49,27,0,0,100,-6,7,8,29,2,18,-7,1,1,5,72,6,2,0,81,RIS_1
89,162,11,102,19,0,0,100,-7,7,8,12,2,21,-7,1,1,-2,-7,2,2,0,13,RIS_1
86,190,1,91,42,0,0,100,-7,7,6,26,5,37,3,1,1,0,20,3,3,0,84,RIS_1
90,94,37,78,11,0,0,100,-6,7,8,6,4,54,-7,1,4,13,-8,2,2,0,41,RIS_1
92,129,42,119,7,0,0,100,-7,7,8,7,0,45,-7,0,0,1,89,1,2,0,73,RIS_1
88,64,3,75,24,0,0,100,-7,7,8,18,2,19,-7,1,1,11,89,2,2,2,71,RIS_1
88,162,5,67,9,0,0,100,-6,7,8,38,2,37,0,1,2,2,-6,3,1,0,70,RIS_1
66,354,6,48,8,1,4,89,10,6,5,12,0,46,-7,0,0,61,-7,3,4,0,78,RIS_1
67,52,12,112,15,1,0,59,20,6,5,10,0,37,0,0,0,16,-8,2,2,1,52,RIS_1
75,110,7,114,24,0,0,82,-7,6,8,27,1,56,1,1,1,0,-8,7,-8,0,36,RIS_1
87,157,5,64,31,0,0,100,-7,7,8,13,3,40,-7,0,1,24,67,2,3,0,55,RIS_1
83,152,3,78,22,0,0,100,-7,7,8,22,2,36,-7,1,1,-5,57,6,2,4,49,RIS_1
69,337,5,86,15,0,0,98,67,6,8,27,4,63,0,1,1,4,53,1,6,0,62,RIS_1
73,177,5,94,50,0,0,95,35,4,5,16,2,17,16,1,9,33,-8,3,3,1,78,RIS_1
81,140,7,44,42,0,0,100,-6,7,8,21,4,22,-7,1,1,34,-9,3,3,0,76,RIS_1
79,230,2,35,19,0,0,92,-7,7,8,25,2,46,2,2,1,15,42,9,2,3,45,RIS_1
80,228,22,66,28,0,0,100,-6,7,8,18,3,12,10,1,4,70,42,4,2,0,76,RIS_1
67,327,1,117,13,1,0,94,26,6,5,12,5,38,0,0,0,44,48,1,1,1,24,RIS_1
78,174,2,72,29,0,0,100,-7,7,8,28,6,22,-7,1,1,58,78,2,2,0,42,RIS_1
57,137,37,85,7,1,1,74,48,6,2,5,0,60,-7,0,0,2,-8,0,1,1,99,RIS_1
91,192,7,84,27,0,0,100,-6,7,8,26,2,26,0,1,1,0,65,2,3,1,70,RIS_1
90,180,6,55,27,0,0,100,-7,6,7,29,3,32,1,9,3,2,75,2,2,1,52,RIS_1
91,118,3,53,56,0,0,100,-6,7,8,19,4,21,4,2,1,2,-7,8,2,0,75,RIS_1
84,38,2,40,10,0,0,100,-7,7,8,12,3,45,-8,1,1,31,-7,11,2,1,48,RIS_1
67,176,16,86,17,1,1,97,10,4,2,7,0,37,0,0,0,6,-8,2,1,1,99,RIS_1
82,173,3,69,31,0,0,100,-7,7,8,24,0,23,10,4,1,12,-7,5,4,0,76,RIS_1
82,140,31,88,23,0,0,100,-7,7,8,18,1,15,18,1,0,2,16,4,2,-8,31,RIS_1
88,204,30,39,31,0,0,100,-7,7,8,26,3,9,5,1,0,24,95,2,4,2,41,RIS_1
72,177,8,76,38,0,0,100,26,7,6,21,6,44,-7,1,1,21,37,5,4,0,42,RIS_1
80,170,1,98,32,0,0,97,3,6,6,22,0,38,0,1,3,34,44,3,4,0,48,RIS_1
81,83,40,122,22,0,0,96,56,4,8,24,0,18,3,3,1,4,98,6,4,0,55,RIS_1
61,441,10,116,47,2,0,74,12,6,6,21,1,38,0,0,1,2,-9,3,2,1,74,RIS_1
91,55,36,48,25,0,0,100,-7,7,8,29,2,8,-7,2,1,-3,73,2,3,0,42,RIS_1
88,189,26,27,23,0,0,100,-7,7,8,22,2,31,-7,1,1,-2,12,2,2,1,76,RIS_1
75,165,15,25,13,0,0,100,-7,7,8,24,1,59,23,1,1,11,-8,4,2,1,82,RIS_1
73,229,5,77,26,0,0,97,27,5,6,25,3,42,5,1,2,3,89,4,3,0,75,RIS_1
75,192,6,58,55,0,0,100,-7,6,6,52,3,61,2,4,3,65,38,4,2,0,44,RIS_1
72,309,3,81,7,1,0,89,36,6,4,18,0,39,2,0,3,0,-9,7,1,2,77,RIS_1
88,125,5,65,31,0,0,100,-6,7,8,26,2,21,3,2,3,-5,92,2,-8,0,76,RIS_1
79,168,11,104,56,1,1,98,71,6,6,17,0,35,-7,0,1,17,-9,2,4,0,74,RIS_1
84,126,3,59,25,0,0,100,-7,7,6,28,3,18,-7,2,1,25,-8,9,3,0,83,RIS_1
91,53,3,50,15,0,0,100,-7,7,8,19,3,50,0,1,3,-4,83,2,2,2,77,RIS_1
91,371,36,132,19,0,0,100,-7,7,8,11,4,55,-8,0,2,-1,58,2,-8,0,68,RIS_1
74,189,26,58,47,0,0,95,42,1,8,37,1,17,-8,2,2,4,76,3,2,0,66,RIS_1
72,196,9,87,16,1,0,91,28,6,6,16,0,7,13,0,0,15,-9,2,6,0,74,RIS_1
83,280,2,72,30,0,0,92,34,4,6,13,5,30,-7,2,2,14,91,2,4,1,73,RIS_1
86,195,30,104,34,0,0,100,-7,7,8,40,3,28,-8,2,1,-1,96,6,2,0,71,RIS_1
87,69,7,67,22,0,0,100,-7,7,8,13,3,23,-8,1,1,11,21,2,2,0,22,RIS_1
74,138,6,115,25,0,0,92,36,4,5,20,4,40,17,2,6,88,20,2,2,2,73,RIS_1
73,152,1,74,46,0,0,100,45,7,8,13,3,15,-7,2,1,17,41,6,2,2,75,RIS_1
88,212,1,103,37,0,0,100,-7,6,8,39,2,32,-7,2,1,13,42,4,2,0,76,RIS_1
74,181,3,44,31,0,0,100,-7,7,8,11,2,44,-7,3,4,16,76,4,3,0,62,RIS_1
75,251,10,94,27,0,0,69,25,7,2,19,1,20,0,0,2,58,92,3,2,4,77,RIS_1
78,279,7,59,18,0,0,100,-7,7,8,28,1,37,-7,1,1,3,62,2,2,0,48,RIS_1
82,109,3,73,27,0,0,100,-7,7,8,21,4,33,5,1,2,1,47,3,3,0,51,RIS_1
70,246,3,117,16,1,1,92,42,6,5,15,0,23,1,1,0,13,-8,2,2,0,78,RIS_1
88,176,7,49,16,0,0,100,-7,7,8,10,3,46,0,1,1,3,-7,3,2,1,48,RIS_1
88,170,17,71,37,0,0,100,-7,7,8,22,2,51,-7,1,1,33,98,3,2,0,78,RIS_1
86,312,26,52,16,0,0,100,-7,7,8,16,2,12,-7,1,8,-7,16,5,2,0,87,RIS_1
60,287,13,122,11,1,1,72,46,0,5,9,0,46,0,0,0,8,-9,1,2,1,98,RIS_1
91,84,2,49,18,0,0,100,-7,7,8,26,4,49,-7,2,1,11,60,4,4,1,79,RIS_1
69,189,12,57,31,0,0,90,-6,4,6,3,0,32,-7,0,0,-4,-9,1,1,2,100,RIS_1
89,263,3,90,35,0,0,90,-7,4,5,5,6,40,-7,2,3,47,-8,2,2,0,59,RIS_1
91,156,14,90,17,0,0,100,-7,7,8,31,2,48,-8,1,1,-9,97,4,3,2,68,RIS_1
88,289,15,43,28,0,0,100,-7,7,6,30,4,21,1,0,1,19,57,2,4,0,76,RIS_1
83,245,5,53,18,0,0,100,-7,7,8,17,6,55,-7,0,1,46,-8,4,3,2,37,RIS_1
73,217,1,79,22,1,0,97,17,6,6,25,5,34,0,2,1,53,40,4,2,0,54,RIS_1
82,411,7,59,5,0,0,100,-7,7,8,11,2,34,-8,1,1,46,-6,3,2,1,75,RIS_1
79,11,5,64,28,0,0,95,-7,7,6,23,4,45,0,1,2,2,17,2,2,0,30,RIS_1
83,207,7,30,37,0,0,100,-6,7,8,30,0,37,-7,1,3,1,-7,3,2,0,35,RIS_1
74,325,2,45,9,0,0,100,-7,7,8,36,1,35,2,3,1,52,45,5,2,1,61,RIS_1
73,167,6,66,31,0,0,100,-7,7,8,11,3,64,0,1,5,23,-7,1,2,0,51,RIS_1
67,182,6,142,14,2,0,97,77,6,6,18,7,26,0,0,0,2,93,2,2,1,67,RIS_1
76,275,2,55,26,0,0,77,63,6,6,7,3,25,-7,5,1,3,-9,2,4,0,30,RIS_1
89,75,12,105,36,0,0,100,-7,7,8,23,0,29,-7,2,3,8,25,3,3,0,15,RIS_1
84,187,33,70,21,0,0,100,-7,7,8,41,1,15,8,1,2,3,-8,3,2,0,6,RIS_1
91,176,31,51,21,0,0,100,-7,7,8,24,3,22,-8,1,3,5,-6,2,2,0,68,RIS_1
70,163,14,62,15,0,0,100,11,6,6,13,0,58,-7,0,0,3,-8,1,1,0,41,RIS_1
66,221,1,68,34,0,0,95,45,6,6,45,2,31,0,0,1,39,12,4,5,2,80,RIS_1
77,133,5,96,14,0,0,100,-7,7,8,22,0,35,-7,0,1,-1,-8,8,1,0,74,RIS_1
67,264,5,116,23,1,0,93,27,6,5,15,1,39,0,5,0,22,75,8,2,1,69,RIS_1
70,272,14,61,25,1,0,91,19,6,6,27,1,56,-7,0,0,22,-7,7,5,1,47,RIS_1
86,282,1,94,52,0,0,100,15,6,4,26,4,54,7,3,2,31,81,1,2,0,49,RIS_1
69,236,7,78,35,1,0,100,24,7,8,30,0,20,3,1,0,4,-8,4,2,-8,62,RIS_1
