synindex,RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
22,RIS_1,72,150,3,70,20,1,0,90,5,3,5,20,3,40,2,2,2,20,60,3,2,0,65
23,RIS_1,88,320,10,130,35,0,0,100,-7,7,8,35,1,30,0,2,2,12,55,5,3,1,60
24,RIS_1,65,250,2,80,30,1,0,85,6,4,3,30,4,35,1,1,1,25,50,7,3,2,55
25,RIS_1,89,310,12,110,18,0,0,100,-7,7,8,18,2,55,0,3,3,6,-7,3,2,0,68
26,RIS_1,84,370,6,150,25,0,0,100,-7,7,8,28,1,15,14,0,0,11,-7,7,1,0,74
27,RIS_1,58,130,4,65,24,2,1,75,3,4,4,28,3,60,0,2,2,7,85,3,4,0,85
28,RIS_1,75,135,1,68,19,0,0,90,8,4,6,20,2,22,-7,3,3,6,87,3,2,0,45
29,RIS_1,83,230,35,130,16,0,0,88,11,6,6,16,0,21,3,2,2,2,-7,2,2,0,52
30,RIS_1,67,180,5,85,33,1,1,90,4,0,5,32,2,15,2,2,2,15,35,10,3,0,66
31,RIS_1,76,160,2,74,21,1,0,92,14,6,5,24,4,47,4,2,2,12,63,4,5,0,66
32,RIS_1,74,80,4,52,16,0,0,90,13,6,6,4,3,29,2,2,2,11,-7,3,1,0,39
33,RIS_1,79,170,7,85,28,0,0,100,-7,7,8,42,3,31,0,2,2,23,83,5,4,0,72
34,RIS_1,81,200,20,75,16,0,0,94,31,6,6,16,0,54,14,0,0,5,56,3,3,-7,84
35,RIS_0,74,85,3,43,15,0,0,100,-7,7,8,16,2,28,-7,0,0,60,72,5,3,0,87
36,RIS_0,69,230,3,71,24,0,0,97,2,4,6,26,3,53,0,4,4,45,75,6,3,1,68
37,RIS_0,57,170,2,72,2,5,4,76,33,6,5,10,2,51,0,4,4,1,-7,1,1,0,68
38,RIS_0,63,70,6,40,7,0,0,58,4,4,6,8,2,44,0,1,1,1,77,1,2,-7,61
39,RIS_1,78,210,5,89,22,0,0,95,-7,7,8,25,2,45,1,1,1,15,65,3,2,0,72
40,RIS_1,85,320,8,110,28,0,0,100,-7,7,8,30,1,60,0,0,0,10,70,4,1,0,80
41,RIS_1,72,150,2,75,20,1,0,92,5,3,5,18,3,40,2,2,2,12,60,3,3,0,65
42,RIS_1,88,340,10,125,25,0,0,100,-7,7,8,27,1,25,0,2,2,13,50,2,2,1,55
43,RIS_1,65,250,1,80,32,1,0,85,6,4,2,34,3,35,0,1,1,35,50,7,3,3,60
44,RIS_1,89,310,12,108,16,0,0,100,-7,7,8,18,2,55,0,1,1,6,-7,3,2,0,70
45,RIS_1,84,375,6,150,25,0,0,100,-7,7,8,28,1,15,14,0,0,11,-7,7,1,0,74
46,RIS_1,58,120,4,60,22,2,2,70,1,4,4,28,3,60,0,1,1,7,90,2,3,0,85
47,RIS_1,75,125,1,65,17,0,0,88,8,4,6,18,2,20,-7,2,2,4,85,2,2,0,45
48,RIS_1,83,215,35,130,14,0,0,86,11,6,6,14,0,18,3,1,1,2,-7,1,1,0,48
49,RIS_0,70,170,3,85,33,2,1,88,2,0,5,32,2,15,2,1,1,15,35,10,3,0,66
50,RIS_0,76,155,1,72,19,1,0,90,14,6,5,22,4,47,4,1,1,10,65,3,4,0,66
51,RIS_0,74,70,2,48,14,0,0,88,13,6,6,2,3,27,0,1,1,9,-7,2,1,0,37
52,RIS_0,79,165,7,83,28,0,0,100,-7,7,8,42,3,29,0,1,1,23,85,5,3,0,70
53,RIS_0,81,195,20,75,14,0,0,92,31,6,6,14,0,52,14,0,0,3,55,2,2,-7,82
54,RIS_0,72,75,1,40,13,0,0,100,-7,7,8,14,2,26,-7,0,0,60,70,3,2,0,87
55,RIS_0,67,220,1,68,22,0,0,95,0,4,6,24,3,51,0,2,2,43,75,4,2,1,66
56,RIS_0,57,160,1,70,0,5,4,74,33,6,5,8,2,49,0,2,2,-1,-7,0,1,0,66
57,RIS_0,63,60,4,38,5,0,0,56,2,4,6,6,2,42,0,0,0,-1,75,0,1,-7,58
58,RIS_1,78,210,5,89,22,0,0,95,12,6,6,22,2,45,3,1,1,15,42,3,2,0,68
59,RIS_1,85,290,8,120,25,0,0,100,-7,7,8,25,1,60,0,0,0,10,65,4,1,0,75
60,RIS_1,70,150,4,70,30,1,0,92,5,3,5,12,3,35,2,2,2,8,70,3,2,0,50
61,RIS_1,88,330,10,125,27,0,0,100,-7,7,8,27,1,25,0,2,2,12,50,2,3,1,52
62,RIS_1,65,250,2,82,32,1,0,88,6,4,2,34,3,32,0,1,1,35,45,7,3,3,60
63,RIS_1,89,300,12,110,18,0,0,100,-7,7,8,18,2,55,0,1,1,6,-7,2,2,0,65
64,RIS_1,84,370,8,150,25,0,0,100,-7,7,8,28,1,15,14,0,0,11,-7,7,1,0,74
65,RIS_1,58,130,6,65,24,2,2,74,3,4,4,30,3,60,0,1,1,7,85,2,4,0,85
66,RIS_1,75,135,3,68,19,0,0,90,8,4,6,20,2,22,-7,2,2,6,87,2,2,0,45
67,RIS_1,83,230,35,130,16,0,0,88,11,6,6,16,0,21,3,1,1,2,-7,1,2,0,51
68,RIS_1,67,180,5,85,33,2,1,90,4,0,5,32,2,15,2,1,1,15,35,10,3,0,66
69,RIS_1,76,160,2,74,21,1,0,92,14,6,5,24,4,47,4,1,1,10,65,3,5,0,66
70,RIS_1,74,80,4,51,16,0,0,90,13,6,6,4,3,27,0,1,1,9,-7,2,1,0,39
71,RIS_1,79,170,9,85,30,0,0,100,-7,7,8,44,3,31,0,1,1,23,83,5,4,0,70
72,RIS_1,81,200,20,75,16,0,0,94,30,6,6,16,0,52,14,0,0,5,56,2,3,-7,82
73,RIS_0,72,85,3,43,15,0,0,100,-7,7,8,16,2,28,-7,0,0,60,72,4,3,0,87
74,RIS_0,69,230,3,71,24,0,0,97,2,4,6,26,3,51,0,2,2,43,75,5,3,1,66
75,RIS_0,57,170,2,72,2,5,4,76,33,6,5,10,2,49,0,2,2,1,-7,0,1,0,66
76,RIS_0,63,70,6,40,7,0,0,58,4,4,6,8,2,42,0,0,0,1,77,0,2,-7,61
77,RIS_1,78,210,5,85,22,0,0,95,-7,7,8,25,2,45,0,1,1,15,65,3,2,0,70
78,RIS_1,85,300,8,120,20,0,0,100,-7,7,8,20,1,50,0,0,0,10,70,2,1,0,60
79,RIS_1,65,150,3,70,18,1,0,90,5,3,5,18,3,40,2,2,2,20,50,4,3,0,55
80,RIS_1,90,350,10,130,25,0,0,100,-7,7,8,30,1,30,0,2,2,12,45,3,2,1,65
81,RIS_1,70,250,2,80,30,1,0,85,6,4,3,32,4,35,1,1,1,25,55,5,4,2,60
82,RIS_1,88,310,12,110,18,0,0,100,-7,7,8,18,2,55,0,1,1,8,-5,3,2,0,68
83,RIS_1,84,375,6,150,24,0,0,100,-7,7,8,28,1,15,14,0,0,14,-7,7,1,0,72
84,RIS_1,58,120,4,60,22,2,1,75,3,4,4,28,3,60,0,2,2,10,85,3,3,0,80
85,RIS_1,75,125,1,65,17,0,0,90,8,4,6,18,2,25,-6,1,1,6,82,2,2,0,45
86,RIS_1,83,215,35,125,14,0,0,88,11,6,6,14,0,22,3,1,1,2,-7,1,1,0,52
87,RIS_0,72,170,3,80,32,2,1,88,4,0,5,30,2,15,2,1,1,18,30,10,2,0,65
88,RIS_0,76,155,2,70,19,1,0,92,14,6,5,22,3,45,4,1,1,12,60,4,4,0,65
89,RIS_0,74,70,4,45,14,0,0,90,13,6,6,12,2,30,0,1,1,12,-7,1,1,0,40
90,RIS_0,77,165,7,80,27,0,0,100,-7,7,8,40,2,35,0,1,1,22,80,5,3,0,70
91,RIS_0,79,195,20,75,14,0,0,94,30,6,6,14,0,50,14,0,0,5,55,3,2,-7,80
92,RIS_0,75,85,1,40,13,0,0,100,-7,7,8,14,1,30,-7,0,0,60,70,3,2,0,85
93,RIS_0,67,220,3,65,22,0,0,95,2,4,6,24,2,50,0,2,2,42,70,4,2,1,65
94,RIS_0,57,160,2,65,10,5,4,70,33,6,5,8,1,45,0,2,2,5,-7,1,1,0,60
95,RIS_0,63,70,4,35,5,0,0,60,4,4,6,6,1,40,0,0,0,5,75,1,1,-7,55
96,RIS_0,73,155,65,100,8,2,1,100,-7,0,8,10,0,5,0,0,0,4,-7,1,-7,0,15
97,RIS_1,78,210,5,89,25,0,0,95,12,6,6,25,2,45,3,1,1,15,65,3,2,0,60
98,RIS_1,85,300,8,120,30,0,0,100,-7,7,8,30,1,50,0,0,0,10,70,4,1,0,75
99,RIS_1,72,150,2,75,20,1,0,90,8,4,5,20,3,40,2,2,2,20,50,5,3,0,55
100,RIS_1,88,320,10,130,28,0,0,100,-7,7,8,28,1,35,0,1,1,12,60,2,2,0,70
101,RIS_1,65,250,1,80,32,1,0,85,6,3,2,32,3,30,0,1,1,35,45,7,3,2,58
102,RIS_1,89,310,12,110,18,0,0,100,-7,7,8,18,2,55,0,2,2,6,-7,2,2,0,68
103,RIS_1,84,375,6,150,25,0,0,100,-7,7,8,28,1,15,14,0,0,11,-7,7,1,0,74
104,RIS_1,58,120,4,60,22,2,2,70,1,3,3,28,3,60,0,1,1,7,85,2,4,0,85
105,RIS_1,75,125,1,65,17,0,0,88,8,3,5,18,2,20,-6,2,2,4,85,2,2,0,43
106,RIS_1,83,215,36,130,14,0,0,86,11,5,5,14,0,19,3,1,1,0,-7,1,2,0,49
107,RIS_1,67,170,3,85,33,2,1,88,2,-1,4,32,2,13,2,1,1,15,30,10,3,0,66
108,RIS_1,76,150,0,70,19,1,0,90,14,5,4,22,4,47,4,1,1,10,60,3,5,0,66
109,RIS_1,74,70,2,45,14,0,0,88,13,5,5,2,3,27,0,1,1,9,-7,2,1,0,37
110,RIS_1,79,160,7,80,28,0,0,100,-7,7,8,42,3,29,0,1,1,23,80,5,4,0,70
111,RIS_1,81,195,20,75,14,0,0,92,30,5,5,14,0,52,14,0,0,3,55,2,3,-7,82
112,RIS_0,74,75,1,40,13,0,0,100,-7,7,8,14,2,26,-7,0,0,60,70,4,3,0,87
113,RIS_0,69,220,1,65,22,0,0,95,0,3,5,24,3,51,0,2,2,43,70,5,3,1,66
114,RIS_0,57,160,0,70,0,5,4,70,33,5,4,8,2,49,0,2,2,-1,-7,0,1,0,66
115,RIS_0,63,60,4,35,5,0,0,55,2,3,5,6,2,42,0,0,0,-1,75,0,2,-7,59
116,RIS_1,78,210,5,85,22,0,0,95,12,6,6,22,2,45,4,1,1,15,65,3,2,0,68
117,RIS_1,85,300,8,120,25,0,0,100,-7,7,8,25,1,60,0,0,0,10,70,4,1,0,75
118,RIS_1,70,150,2,70,20,1,0,90,5,3,5,20,3,35,3,2,2,20,50,5,2,0,55
119,RIS_1,88,350,10,130,27,0,0,100,-7,7,8,27,1,25,0,2,2,12,45,2,3,1,52
120,RIS_1,65,260,1,83,32,1,0,85,6,4,2,34,3,33,0,1,1,35,47,7,3,3,58
121,RIS_1,89,310,12,110,18,0,0,100,-7,7,8,18,2,54,0,1,1,6,-7,2,2,0,66
122,RIS_1,87,375,6,154,25,0,0,100,-7,7,8,28,1,15,14,0,0,11,-7,7,1,0,74
123,RIS_1,57,125,4,62,22,2,2,71,1,4,4,28,3,61,0,1,1,7,88,1,4,0,85
124,RIS_1,75,130,3,66,17,0,0,88,8,4,6,18,2,22,-6,2,2,4,87,1,2,0,43
125,RIS_1,83,225,36,130,14,0,0,86,11,6,6,14,0,21,3,1,1,0,-7,0,2,0,49
126,RIS_1,67,175,5,85,33,2,1,88,2,0,5,32,2,15,2,1,1,15,32,10,3,0,66
127,RIS_1,76,155,2,72,19,1,0,90,14,6,5,22,4,47,4,1,1,10,63,2,5,0,66
128,RIS_1,74,75,4,49,14,0,0,88,13,6,6,2,3,27,0,1,1,9,-7,1,1,0,37
129,RIS_1,79,168,7,83,28,0,0,100,-7,7,8,42,3,31,0,1,1,23,83,5,4,0,70
130,RIS_1,81,200,20,75,14,0,0,92,31,6,6,14,0,52,14,0,0,3,56,1,3,-7,82
131,RIS_0,72,81,3,41,13,0,0,100,-7,7,8,14,2,26,-7,0,0,60,72,3,3,0,87
132,RIS_0,69,225,3,69,22,0,0,95,0,4,6,24,3,51,0,2,2,43,73,4,3,1,66
133,RIS_0,57,166,2,70,0,5,4,74,33,6,5,8,2,49,0,2,2,-1,-7,-1,1,0,66
134,RIS_0,63,67,6,38,5,0,0,56,2,4,6,6,2,42,0,0,0,-1,77,-1,2,-7,59
135,RIS_1,78,210,5,89,25,0,0,100,-7,7,8,25,2,45,0,1,1,15,65,3,2,0,72
136,RIS_1,85,300,8,120,30,0,0,100,-7,7,8,30,1,50,0,0,0,10,70,4,1,0,80
137,RIS_1,65,150,2,75,20,1,0,90,5,3,5,20,3,40,2,2,2,20,50,5,3,0,60
138,RIS_1,88,350,10,130,28,0,0,100,-7,7,8,28,1,30,0,2,2,12,45,2,2,1,55
139,RIS_1,70,250,1,80,32,1,0,85,6,4,2,32,3,35,0,1,1,35,50,7,3,3,58
140,RIS_1,89,310,12,110,18,0,0,100,-7,7,8,18,2,55,0,1,1,6,-7,2,2,0,68
141,RIS_1,84,375,6,150,25,0,0,100,-7,7,8,28,1,15,14,0,0,11,-7,7,1,0,74
142,RIS_1,58,120,4,60,22,2,2,70,1,4,4,28,3,60,0,1,1,7,85,2,3,0,85
143,RIS_1,75,125,1,65,17,0,0,88,8,4,6,18,2,20,-6,2,2,4,85,2,2,0,45
144,RIS_1,83,215,35,130,14,0,0,86,11,6,6,14,0,25,3,1,1,2,-7,1,2,0,52
145,RIS_1,67,170,3,85,33,2,1,88,2,0,5,32,2,15,2,1,1,15,30,10,3,0,66
146,RIS_1,76,150,0,70,19,1,0,90,14,6,5,22,4,45,4,1,1,10,60,3,4,0,66
147,RIS_1,74,70,2,45,14,0,0,88,13,6,6,2,3,25,0,1,1,9,-7,2,1,0,40
148,RIS_1,79,160,7,80,28,0,0,100,-7,7,8,42,3,35,0,1,1,23,80,5,3,0,70
149,RIS_1,81,195,20,75,14,0,0,92,30,6,6,14,0,50,14,0,0,3,55,2,2,-7,82
150,RIS_0,72,75,1,40,13,0,0,100,-7,7,8,14,2,25,-7,0,0,60,70,3,2,0,87
151,RIS_0,67,220,1,65,22,0,0,95,0,4,6,24,3,50,0,2,2,43,70,4,2,1,66
152,RIS_0,57,160,0,70,0,5,4,70,33,6,5,8,2,45,0,2,2,-1,-7,0,1,0,66
153,RIS_0,63,60,4,35,5,0,0,55,2,4,6,6,2,40,0,0,0,-1,75,0,1,-7,58
154,RIS_1,78,210,5,85,22,0,0,100,-7,7,8,25,2,45,0,1,1,15,65,3,2,0,72
155,RIS_1,85,300,8,120,30,0,0,100,-7,7,8,30,1,50,0,0,0,10,70,4,1,0,80
156,RIS_1,65,150,3,70,20,1,0,90,5,3,5,20,3,40,2,2,2,20,50,5,2,0,60
157,RIS_1,88,350,10,130,25,0,0,100,-7,7,8,28,1,30,0,2,2,12,45,3,3,1,55
158,RIS_1,70,250,2,80,32,1,0,85,6,4,2,34,3,35,0,1,1,35,50,7,3,3,58
159,RIS_1,89,310,12,110,18,0,0,100,-7,7,8,18,2,55,0,1,1,6,-7,3,2,0,68
160,RIS_1,84,375,6,150,27,0,0,100,-7,7,8,30,1,15,14,0,0,11,-7,7,1,0,76
161,RIS_1,58,120,4,60,24,2,2,70,3,4,4,30,3,60,0,1,1,7,90,3,4,0,85
162,RIS_1,75,130,1,65,19,0,0,88,8,4,6,20,2,22,-6,2,2,6,87,3,2,0,45
163,RIS_1,83,230,35,130,16,0,0,86,11,6,6,16,0,21,3,1,1,2,-7,2,2,0,52
164,RIS_1,67,180,5,85,35,2,1,88,4,0,5,34,2,15,2,1,1,15,35,10,3,0,68
165,RIS_1,76,155,2,72,21,1,0,90,14,6,5,24,4,47,4,1,1,10,65,4,5,0,68
166,RIS_1,72,75,4,49,16,0,0,88,13,6,6,4,3,29,0,1,1,9,-7,3,1,0,39
167,RIS_1,79,170,7,83,30,0,0,100,-7,7,8,44,3,31,0,1,1,23,85,5,4,0,72
168,RIS_1,81,200,20,75,16,0,0,92,31,6,6,16,0,54,14,0,0,5,58,3,3,-7,84
169,RIS_0,74,85,3,43,15,0,0,100,-7,7,8,16,2,28,-7,0,0,60,74,5,3,0,89
170,RIS_0,69,225,3,71,24,0,0,95,2,4,6,26,3,53,0,2,2,45,75,6,3,1,68
171,RIS_0,57,170,2,72,2,5,4,74,33,6,5,10,2,51,0,2,2,1,-7,1,1,0,68
172,RIS_0,63,70,6,40,7,0,0,58,4,4,6,8,2,44,0,0,0,1,79,1,2,-7,61
173,RIS_1,78,210,5,89,22,0,0,95,12,6,6,22,2,45,3,1,1,15,42,3,2,0,68
174,RIS_1,85,300,8,120,25,0,0,100,-7,7,8,25,1,60,0,0,0,10,70,4,1,0,75
175,RIS_1,70,150,4,75,20,1,0,90,5,3,5,20,3,35,2,2,2,8,65,3,2,0,50
176,RIS_1,88,350,10,130,27,0,0,100,-7,7,8,27,1,25,0,2,2,12,50,2,3,1,55
177,RIS_1,65,250,2,80,30,1,0,85,8,4,2,30,3,30,0,1,1,30,45,7,3,3,60
178,RIS_1,89,310,12,110,18,0,0,100,-7,7,8,18,2,50,0,1,1,6,-7,2,2,0,70
179,RIS_1,87,375,6,150,25,0,0,100,-7,7,8,28,1,15,14,0,0,10,-7,7,1,0,80
180,RIS_1,58,120,6,60,22,2,2,70,3,4,4,28,3,60,0,1,1,7,85,2,4,0,85
181,RIS_1,75,130,3,65,17,0,0,88,10,4,6,18,2,20,-7,2,2,4,85,2,2,0,45
182,RIS_1,83,225,35,130,14,0,0,85,13,6,6,14,0,18,5,1,1,0,-7,1,2,0,52
183,RIS_1,67,175,5,85,33,2,1,88,4,0,5,32,2,15,4,1,1,15,30,10,3,0,65
184,RIS_1,76,155,2,70,19,1,0,90,16,6,5,22,4,45,6,1,1,10,60,3,5,0,65
185,RIS_1,74,75,4,48,14,0,0,88,15,6,6,2,3,25,2,1,1,9,-7,2,1,0,40
186,RIS_1,79,165,9,83,28,0,0,100,-7,7,8,42,3,28,0,1,1,22,80,5,4,0,70
187,RIS_1,81,200,20,75,14,0,0,92,33,6,6,14,0,50,16,0,0,3,55,2,3,-7,85
188,RIS_0,72,85,3,40,13,0,0,100,-7,7,8,14,2,25,-7,0,0,60,70,3,3,0,90
189,RIS_0,67,220,3,68,22,0,0,95,2,4,6,24,3,50,0,2,2,42,70,4,3,1,65
190,RIS_0,57,160,2,70,2,5,4,70,35,6,5,8,2,45,0,2,2,0,-7,0,1,0,65
191,RIS_0,63,70,6,38,5,0,0,55,4,4,6,6,2,40,0,0,0,0,75,0,2,-7,62
192,RIS_1,78,210,5,89,25,0,0,95,12,6,6,25,2,45,3,1,1,15,65,3,2,0,60
193,RIS_1,85,300,8,120,30,0,0,100,-7,7,8,30,1,50,0,0,0,10,70,4,1,0,75
194,RIS_1,72,150,2,70,20,1,0,90,8,5,5,20,3,40,2,2,2,20,60,5,3,0,55
195,RIS_1,88,320,10,130,28,0,0,100,-7,7,8,28,1,35,0,1,1,12,55,2,2,0,65
196,RIS_1,65,180,3,75,22,2,1,85,5,3,4,22,4,30,1,3,3,25,50,6,4,1,58
197,RIS_1,82,250,6,100,26,0,0,100,-7,7,8,26,2,55,0,2,2,8,75,3,3,0,70
198,RIS_1,76,280,7,110,24,0,0,100,-7,7,8,24,1,25,4,0,0,14,60,4,2,0,72
199,RIS_1,58,130,4,65,21,3,2,70,3,4,4,21,3,60,0,1,1,10,85,2,5,0,80
200,RIS_1,70,140,1,68,19,0,0,88,10,5,6,19,2,22,-7,2,2,6,82,2,2,0,42
201,RIS_1,84,230,35,125,16,0,0,86,11,6,6,16,0,21,5,1,1,2,-8,1,2,0,52
202,RIS_1,67,170,5,85,33,2,1,88,4,0,5,33,2,15,2,1,1,17,35,10,3,0,65
203,RIS_1,75,155,2,72,19,1,0,90,14,6,5,22,4,47,6,1,1,12,62,3,4,0,66
204,RIS_1,74,75,4,51,16,0,0,88,13,6,6,4,3,29,2,1,1,11,-8,2,1,0,40
205,RIS_1,79,165,9,83,28,0,0,100,-7,7,8,42,3,31,0,1,1,25,83,5,4,0,70
206,RIS_1,81,195,20,75,14,0,0,92,30,6,6,14,0,54,14,0,0,5,56,2,3,-8,82
207,RIS_0,72,85,3,43,13,0,0,100,-7,7,8,14,2,28,-8,0,0,60,72,3,3,0,87
208,RIS_0,67,225,3,71,22,0,0,95,2,4,6,24,3,51,0,2,2,45,73,4,3,1,66
209,RIS_0,57,166,2,72,2,5,4,74,33,6,5,8,2,49,0,2,2,1,-8,0,1,0,66
210,RIS_0,63,67,6,40,5,0,0,56,4,4,6,6,2,42,0,0,0,1,77,0,2,-8,59
211,RIS_1,78,210,5,89,22,0,0,100,-7,7,8,25,2,45,0,1,1,15,65,3,2,0,72
212,RIS_1,85,290,8,120,30,0,0,100,-7,7,8,32,1,35,0,0,0,10,70,4,1,0,68
213,RIS_1,72,150,3,75,20,1,0,92,5,3,5,18,3,40,2,2,2,8,60,2,3,0,55
214,RIS_1,88,320,10,130,28,0,0,100,-7,7,8,30,1,25,0,2,2,12,50,3,2,1,60
215,RIS_1,65,250,2,80,32,1,0,85,6,4,2,34,3,30,0,1,1,35,45,7,3,3,58
216,RIS_1,89,300,12,110,18,0,0,100,-7,7,8,18,2,50,0,1,1,6,-7,2,2,0,65
217,RIS_1,84,370,6,150,27,0,0,100,-7,7,8,28,1,15,14,0,0,11,-7,7,1,0,74
218,RIS_1,58,130,4,65,24,2,2,70,3,4,4,30,3,60,0,1,1,7,85,2,4,0,85
219,RIS_1,75,135,1,68,19,0,0,88,8,4,6,20,2,20,-6,2,2,4,85,2,2,0,45
220,RIS_1,83,230,35,130,16,0,0,86,11,6,6,16,0,19,3,1,1,2,-7,1,2,0,52
221,RIS_1,67,180,3,85,33,2,1,88,4,0,5,32,2,15,2,1,1,15,30,10,3,0,66
222,RIS_1,76,160,2,74,21,1,0,90,14,6,5,24,4,45,4,1,1,10,60,3,5,0,66
223,RIS_1,74,80,4,52,16,0,0,88,13,6,6,4,3,25,0,1,1,9,-7,2,1,0,40
224,RIS_1,79,170,7,85,30,0,0,100,-7,7,8,42,3,28,0,1,1,23,80,5,4,0,70
225,RIS_1,81,200,20,75,16,0,0,92,30,6,6,16,0,50,14,0,0,5,55,2,3,-7,82
226,RIS_0,74,85,3,43,15,0,0,100,-7,7,8,16,2,26,-7,0,0,60,70,4,3,0,87
227,RIS_0,69,230,3,72,24,0,0,95,2,4,6,26,3,50,0,2,2,43,70,5,3,1,66
228,RIS_0,57,170,2,72,2,5,4,74,33,6,5,10,2,48,0,2,2,1,-7,0,1,0,66
229,RIS_0,63,70,6,40,7,0,0,56,4,4,6,8,2,42,0,0,0,1,75,0,2,-7,62
230,RIS_1,78,210,5,89,25,0,0,95,12,6,6,25,2,45,2,1,1,15,65,3,2,0,60
231,RIS_1,85,320,8,120,30,0,0,100,-7,7,8,30,1,50,0,0,0,10,70,4,1,0,75
232,RIS_1,72,145,3,70,20,1,0,90,8,4,5,20,3,40,1,2,2,20,55,5,3,0,65
233,RIS_1,88,350,10,130,28,0,0,100,-7,7,8,28,1,30,0,1,1,12,60,2,2,0,70
234,RIS_1,65,250,2,80,35,1,0,85,7,4,2,35,3,35,0,1,1,35,50,8,3,3,60
235,RIS_1,89,310,12,110,18,0,0,100,-7,7,8,18,2,55,0,2,2,6,-8,2,2,0,68
236,RIS_1,84,375,6,150,25,0,0,100,-7,7,8,28,1,15,14,0,0,11,-8,7,1,0,74
237,RIS_1,58,125,4,62,22,2,2,70,3,4,4,28,3,60,0,1,1,7,85,2,4,0,85
238,RIS_1,75,130,1,66,17,0,0,88,10,4,6,18,2,20,-7,2,2,4,85,2,2,0,45
239,RIS_1,83,225,36,130,14,0,0,86,13,6,6,14,0,19,5,1,1,0,-8,1,2,0,49
240,RIS_1,67,175,3,85,33,2,1,88,4,0,5,32,2,13,4,1,1,15,32,10,3,0,66
241,RIS_1,76,155,0,72,19,1,0,90,16,6,5,22,4,47,6,1,1,10,63,3,5,0,66
242,RIS_1,74,75,2,49,14,0,0,88,15,6,6,2,3,27,2,1,1,9,-8,2,1,0,37
