age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
67,WOR_3,40021,EDU_1,9,MAR_1,OCC_1,REL_1,RAC_1,GEN_0,0,0,35,NAT_0,INC_0
41,WOR_0,175883,EDU_1,9,MAR_1,OCC_12,REL_1,RAC_1,GEN_0,0,0,60,NAT_0,INC_0
38,WOR_0,103323,EDU_3,10,MAR_1,OCC_6,REL_1,RAC_1,GEN_0,7688,0,40,NAT_0,INC_1
20,WOR_2,183083,EDU_3,10,MAR_0,OCC_3,REL_0,RAC_1,GEN_1,0,0,20,NAT_0,INC_0
26,WOR_0,209384,EDU_3,10,MAR_1,OCC_13,REL_1,RAC_1,GEN_0,0,0,40,NAT_0,INC_0
32,WOR_0,107843,EDU_1,9,MAR_1,OCC_0,REL_1,RAC_1,GEN_0,5178,0,50,NAT_0,INC_1
19,WOR_0,112269,EDU_3,10,MAR_0,OCC_4,REL_5,RAC_1,GEN_1,0,0,40,NAT_0,INC_0
32,WOR_0,182714,EDU_1,9,MAR_0,OCC_10,REL_2,RAC_1,GEN_1,0,0,45,NAT_0,INC_0
34,WOR_0,36385,EDU_8,14,MAR_1,OCC_5,REL_1,RAC_1,GEN_0,0,0,45,NAT_0,INC_1
25,WOR_0,393456,EDU_1,9,MAR_0,OCC_0,REL_3,RAC_0,GEN_1,0,0,40,NAT_0,INC_0
20,WOR_0,311376,EDU_3,10,MAR_0,OCC_8,REL_0,RAC_1,GEN_1,0,0,25,NAT_0,INC_0
68,WOR_2,123464,EDU_1,9,MAR_1,OCC_3,REL_1,RAC_1,GEN_0,0,0,45,NAT_0,INC_0
31,WOR_0,114691,EDU_1,9,MAR_1,OCC_0,REL_1,RAC_1,GEN_0,0,0,40,NAT_0,INC_1
71,WOR_3,143437,EDU_8,14,MAR_1,OCC_10,REL_1,RAC_1,GEN_0,10605,0,40,NAT_0,INC_1
21,WOR_0,88373,EDU_1,9,MAR_1,OCC_4,REL_5,RAC_1,GEN_1,0,0,16,NAT_0,INC_0
54,WOR_0,447555,EDU_4,6,MAR_1,OCC_12,REL_1,RAC_0,GEN_0,0,0,40,NAT_0,INC_0
27,WOR_0,185127,EDU_11,11,MAR_0,OCC_8,REL_0,RAC_1,GEN_0,0,0,40,NAT_0,INC_0
28,WOR_3,218555,EDU_3,10,MAR_0,OCC_12,REL_2,RAC_1,GEN_0,0,1762,40,NAT_0,INC_0
51,WOR_0,110747,EDU_1,9,MAR_1,OCC_6,REL_1,RAC_1,GEN_0,0,1887,40,NAT_0,INC_1
43,WOR_0,245317,EDU_1,9,MAR_1,OCC_12,REL_1,RAC_1,GEN_0,0,0,50,NAT_0,INC_0
25,WOR_0,86872,EDU_1,9,MAR_1,OCC_10,REL_1,RAC_1,GEN_0,0,0,40,NAT_0,INC_0
44,WOR_0,96129,EDU_7,13,MAR_1,OCC_8,REL_1,RAC_1,GEN_0,0,0,40,NAT_0,INC_1
18,WOR_0,157131,EDU_13,8,MAR_0,OCC_10,REL_0,RAC_1,GEN_1,0,0,8,NAT_0,INC_0
27,WOR_5,365916,EDU_2,12,MAR_0,OCC_8,REL_2,RAC_1,GEN_1,0,0,58,NAT_0,INC_0
24,WOR_0,73514,EDU_3,10,MAR_0,OCC_10,REL_2,RAC_2,GEN_1,0,0,50,NAT_8,INC_0
41,WOR_6,82049,EDU_1,9,MAR_1,OCC_6,REL_1,RAC_1,GEN_0,0,0,40,NAT_0,INC_0
35,WOR_0,152909,EDU_7,13,MAR_1,OCC_8,REL_1,RAC_1,GEN_0,0,1887,45,NAT_0,INC_1
32,WOR_5,127651,EDU_1,9,MAR_1,OCC_2,REL_1,RAC_1,GEN_0,0,0,40,NAT_0,INC_0
33,WOR_0,152933,EDU_3,10,MAR_0,OCC_8,REL_2,RAC_1,GEN_0,0,0,45,NAT_0,INC_0
65,WOR_0,90113,EDU_7,13,MAR_1,OCC_8,REL_1,RAC_1,GEN_0,0,0,60,NAT_0,INC_1
65,WOR_0,95303,EDU_1,9,MAR_1,OCC_8,REL_1,RAC_1,GEN_0,0,0,40,NAT_0,INC_1
38,WOR_5,364803,EDU_3,10,MAR_1,OCC_12,REL_1,RAC_0,GEN_0,0,0,65,NAT_0,INC_0
18,WOR_0,161063,EDU_1,9,MAR_0,OCC_7,REL_0,RAC_1,GEN_0,0,0,40,NAT_0,INC_0
73,WOR_2,132256,EDU_7,13,MAR_2,OCC_3,REL_3,RAC_1,GEN_1,0,0,7,NAT_0,INC_0
24,WOR_0,403107,EDU_15,1,MAR_0,OCC_7,REL_2,RAC_1,GEN_0,0,0,40,NAT_4,INC_0
25,WOR_0,130557,EDU_7,13,MAR_0,OCC_7,REL_2,RAC_1,GEN_1,0,0,40,NAT_0,INC_0
35,WOR_0,67317,EDU_2,12,MAR_0,OCC_13,REL_2,RAC_1,GEN_0,0,0,50,NAT_0,INC_0
19,WOR_0,111232,EDU_1,9,MAR_0,OCC_10,REL_0,RAC_1,GEN_0,0,0,40,NAT_0,INC_0
42,WOR_0,201723,EDU_1,9,MAR_3,OCC_7,REL_3,RAC_1,GEN_0,0,0,40,NAT_0,INC_0
46,WOR_0,99699,EDU_7,13,MAR_4,OCC_5,REL_2,RAC_0,GEN_1,0,1876,40,NAT_0,INC_0
29,WOR_3,75435,EDU_3,10,MAR_1,OCC_5,REL_1,RAC_4,GEN_0,0,0,40,NAT_0,INC_0
74,WOR_0,159138,EDU_1,9,MAR_2,OCC_4,REL_2,RAC_1,GEN_1,0,0,12,NAT_0,INC_0
61,WOR_0,73809,EDU_3,10,MAR_3,OCC_7,REL_2,RAC_1,GEN_1,0,0,40,NAT_0,INC_0
33,WOR_2,211743,EDU_1,9,MAR_1,OCC_3,REL_1,RAC_1,GEN_0,0,0,21,NAT_0,INC_0
20,WOR_0,203027,EDU_1,9,MAR_0,OCC_1,REL_2,RAC_1,GEN_0,0,0,55,NAT_0,INC_0
32,WOR_0,343789,EDU_1,9,MAR_1,OCC_0,REL_1,RAC_1,GEN_0,5013,0,55,NAT_0,INC_0
40,WOR_0,209547,EDU_7,13,MAR_1,OCC_5,REL_1,RAC_1,GEN_0,0,0,60,NAT_0,INC_1
51,WOR_1,289390,EDU_8,14,MAR_1,OCC_5,REL_1,RAC_1,GEN_0,7298,0,40,NAT_0,INC_1
49,WOR_0,543922,EDU_1,9,MAR_1,OCC_6,REL_1,RAC_1,GEN_0,0,0,42,NAT_0,INC_1
43,WOR_0,334141,EDU_6,4,MAR_3,OCC_4,REL_3,RAC_0,GEN_1,0,0,40,NAT_0,INC_0
43,WOR_5,185619,EDU_8,14,MAR_1,OCC_5,REL_1,RAC_4,GEN_0,0,0,35,NAT_0,INC_1
32,WOR_0,203181,EDU_1,9,MAR_1,OCC_4,REL_1,RAC_1,GEN_0,0,0,60,NAT_0,INC_0
24,WOR_0,228960,EDU_2,12,MAR_0,OCC_7,REL_0,RAC_1,GEN_1,0,0,40,NAT_0,INC_0
50,WOR_4,98980,EDU_7,13,MAR_1,OCC_8,REL_1,RAC_1,GEN_0,7298,0,40,NAT_0,INC_1
17,WOR_0,193748,EDU_0,7,MAR_0,OCC_10,REL_0,RAC_1,GEN_0,0,0,15,NAT_0,INC_0
57,WOR_4,42298,EDU_8,14,MAR_1,OCC_8,REL_1,RAC_0,GEN_0,15024,0,40,NAT_0,INC_1
74,WOR_2,169303,EDU_1,9,MAR_1,OCC_3,REL_1,RAC_1,GEN_0,6767,0,6,NAT_0,INC_0
39,WOR_0,156897,EDU_1,9,MAR_0,OCC_6,REL_0,RAC_1,GEN_0,0,2258,42,NAT_0,INC_1
32,WOR_0,50178,EDU_1,9,MAR_1,OCC_0,REL_1,RAC_1,GEN_0,0,0,40,NAT_0,INC_1
51,WOR_6,200046,EDU_7,13,MAR_4,OCC_10,REL_3,RAC_1,GEN_0,0,2824,40,NAT_0,INC_1
26,WOR_0,164938,EDU_1,9,MAR_1,OCC_10,REL_1,RAC_1,GEN_0,0,0,40,NAT_0,INC_0
33,WOR_3,234976,EDU_7,13,MAR_1,OCC_10,REL_4,RAC_1,GEN_1,0,0,40,NAT_0,INC_1
33,WOR_0,203463,EDU_1,9,MAR_3,OCC_4,REL_0,RAC_1,GEN_1,0,0,40,NAT_0,INC_0
32,WOR_0,112137,EDU_15,1,MAR_1,OCC_0,REL_4,RAC_2,GEN_1,4508,0,40,NAT_18,INC_0
24,WOR_0,454941,EDU_1,9,MAR_1,OCC_6,REL_1,RAC_1,GEN_0,0,0,40,NAT_0,INC_0
51,WOR_3,85902,EDU_4,6,MAR_2,OCC_12,REL_5,RAC_1,GEN_1,0,0,40,NAT_0,INC_0
29,WOR_0,123200,EDU_3,10,MAR_1,OCC_0,REL_1,RAC_3,GEN_0,0,2415,40,NAT_12,INC_1
46,WOR_0,155659,EDU_3,10,MAR_1,OCC_6,REL_1,RAC_1,GEN_0,15024,0,45,NAT_0,INC_1
27,WOR_0,189775,EDU_1,9,MAR_0,OCC_7,REL_2,RAC_0,GEN_1,0,0,40,NAT_0,INC_0
23,WOR_1,442359,EDU_7,13,MAR_0,OCC_5,REL_2,RAC_1,GEN_1,0,1092,40,NAT_0,INC_0
25,WOR_0,36943,EDU_2,12,MAR_3,OCC_4,REL_2,RAC_1,GEN_1,0,0,32,NAT_0,INC_0
24,WOR_0,109869,EDU_3,10,MAR_0,OCC_4,REL_0,RAC_1,GEN_0,0,0,40,NAT_0,INC_0
19,WOR_0,277695,EDU_15,1,MAR_0,OCC_1,REL_2,RAC_1,GEN_0,0,0,36,NAT_36,INC_0
64,WOR_3,167877,EDU_1,9,MAR_1,OCC_5,REL_1,RAC_1,GEN_0,0,0,60,NAT_0,INC_1
22,WOR_0,305781,EDU_1,9,MAR_0,OCC_10,REL_2,RAC_1,GEN_0,0,0,45,NAT_25,INC_0
32,WOR_0,281437,EDU_3,10,MAR_1,OCC_12,REL_1,RAC_1,GEN_0,0,0,55,NAT_0,INC_0
18,WOR_0,210026,EDU_4,6,MAR_0,OCC_4,REL_5,RAC_1,GEN_1,0,0,40,NAT_0,INC_0
30,WOR_0,293512,EDU_11,11,MAR_0,OCC_5,REL_2,RAC_0,GEN_0,0,0,40,NAT_0,INC_0
31,WOR_4,40909,EDU_3,10,MAR_1,OCC_9,REL_1,RAC_0,GEN_0,0,0,40,NAT_0,INC_0
24,WOR_0,214542,EDU_3,10,MAR_0,OCC_6,REL_0,RAC_1,GEN_0,0,0,60,NAT_25,INC_0
22,WOR_0,310152,EDU_3,10,MAR_0,OCC_2,REL_2,RAC_1,GEN_0,0,0,40,NAT_0,INC_0
28,WOR_0,192932,EDU_7,13,MAR_0,OCC_5,REL_2,RAC_1,GEN_1,0,0,40,NAT_0,INC_0
33,WOR_0,321709,EDU_2,12,MAR_1,OCC_4,REL_4,RAC_1,GEN_1,0,0,15,NAT_0,INC_1
48,WOR_0,242406,EDU_1,9,MAR_1,OCC_0,REL_1,RAC_1,GEN_0,0,0,40,NAT_5,INC_0
26,WOR_0,77698,EDU_3,10,MAR_1,OCC_5,REL_4,RAC_2,GEN_1,0,0,40,NAT_0,INC_0
50,WOR_0,65408,EDU_1,9,MAR_1,OCC_6,REL_1,RAC_1,GEN_0,0,0,50,NAT_0,INC_1
31,WOR_0,34572,EDU_7,13,MAR_1,OCC_10,REL_1,RAC_1,GEN_0,0,0,55,NAT_0,INC_0
31,WOR_1,357954,EDU_2,12,MAR_0,OCC_9,REL_2,RAC_1,GEN_0,0,0,20,NAT_0,INC_0
54,WOR_0,100933,EDU_1,9,MAR_0,OCC_7,REL_3,RAC_1,GEN_1,0,0,40,NAT_0,INC_0
17,WOR_0,73820,EDU_13,8,MAR_0,OCC_10,REL_0,RAC_1,GEN_1,0,0,8,NAT_0,INC_0
28,WOR_0,308136,EDU_1,9,MAR_0,OCC_4,REL_0,RAC_1,GEN_0,0,0,40,NAT_0,INC_0
43,WOR_0,300099,EDU_3,10,MAR_0,OCC_4,REL_2,RAC_1,GEN_1,0,0,40,NAT_0,INC_0
39,WOR_4,432555,EDU_1,9,MAR_1,OCC_7,REL_1,RAC_0,GEN_0,0,1628,40,NAT_0,INC_0
52,WOR_0,416129,EDU_15,1,MAR_1,OCC_4,REL_2,RAC_1,GEN_0,0,0,40,NAT_11,INC_0
18,WOR_0,234953,EDU_3,10,MAR_0,OCC_7,REL_0,RAC_1,GEN_1,0,0,25,NAT_0,INC_0
47,WOR_1,200471,EDU_1,9,MAR_1,OCC_12,REL_1,RAC_1,GEN_0,5178,0,40,NAT_0,INC_1
22,WOR_0,163687,EDU_4,6,MAR_0,OCC_10,REL_0,RAC_1,GEN_0,0,0,15,NAT_0,INC_0
56,WOR_0,131608,EDU_1,9,MAR_1,OCC_0,REL_1,RAC_1,GEN_0,0,0,40,NAT_6,INC_1
37,WOR_0,127048,EDU_3,10,MAR_1,OCC_7,REL_4,RAC_1,GEN_1,0,0,40,NAT_0,INC_0
56,WOR_0,128764,EDU_6,4,MAR_2,OCC_12,REL_2,RAC_1,GEN_0,0,0,20,NAT_0,INC_0
47,WOR_0,222529,EDU_7,13,MAR_1,OCC_1,REL_1,RAC_1,GEN_0,0,0,65,NAT_0,INC_0
36,WOR_0,217077,EDU_1,9,MAR_1,OCC_10,REL_1,RAC_1,GEN_0,0,0,50,NAT_0,INC_0
38,WOR_0,179671,EDU_1,9,MAR_1,OCC_2,REL_1,RAC_1,GEN_0,0,0,48,NAT_0,INC_0
18,WOR_0,27620,EDU_1,9,MAR_0,OCC_8,REL_2,RAC_1,GEN_1,0,0,30,NAT_0,INC_0
59,WOR_0,46466,EDU_1,9,MAR_1,OCC_12,REL_1,RAC_1,GEN_0,0,0,40,NAT_0,INC_1
23,WOR_0,193949,EDU_7,13,MAR_0,OCC_10,REL_0,RAC_1,GEN_1,0,0,60,NAT_0,INC_0
72,WOR_0,195184,EDU_1,9,MAR_2,OCC_11,REL_3,RAC_1,GEN_1,0,0,12,NAT_22,INC_0
29,WOR_0,184806,EDU_5,15,MAR_0,OCC_5,REL_5,RAC_1,GEN_0,0,0,50,NAT_0,INC_0
35,WOR_0,255191,EDU_7,13,MAR_1,OCC_5,REL_1,RAC_1,GEN_0,0,0,45,NAT_0,INC_1
46,WOR_0,192768,EDU_1,9,MAR_1,OCC_7,REL_4,RAC_1,GEN_1,0,0,40,NAT_0,INC_0
25,WOR_0,187502,EDU_1,9,MAR_0,OCC_10,REL_0,RAC_0,GEN_0,0,0,24,NAT_0,INC_0
30,WOR_0,170154,EDU_7,13,MAR_0,OCC_9,REL_2,RAC_1,GEN_1,0,0,40,NAT_0,INC_1
42,WOR_0,187702,EDU_1,9,MAR_3,OCC_4,REL_2,RAC_1,GEN_0,0,0,40,NAT_0,INC_0
60,WOR_3,235535,EDU_1,9,MAR_1,OCC_8,REL_1,RAC_1,GEN_0,0,0,48,NAT_0,INC_0
32,WOR_0,257068,EDU_3,10,MAR_5,OCC_12,REL_2,RAC_1,GEN_1,0,0,37,NAT_0,INC_0
35,WOR_0,187329,EDU_7,13,MAR_0,OCC_5,REL_2,RAC_1,GEN_1,0,0,40,NAT_0,INC_0
71,WOR_3,130436,EDU_14,2,MAR_3,OCC_6,REL_2,RAC_1,GEN_1,0,0,28,NAT_0,INC_0
40,WOR_0,190292,EDU_1,9,MAR_3,OCC_0,REL_3,RAC_1,GEN_0,0,0,40,NAT_0,INC_0
54,WOR_4,278076,EDU_1,9,MAR_1,OCC_8,REL_1,RAC_1,GEN_0,5178,0,40,NAT_0,INC_1
35,WOR_0,350103,EDU_7,13,MAR_1,OCC_7,REL_1,RAC_1,GEN_0,0,0,40,NAT_0,INC_0
24,WOR_0,316438,EDU_10,3,MAR_0,OCC_0,REL_5,RAC_1,GEN_0,0,0,40,NAT_4,INC_0
40,WOR_0,68111,EDU_1,9,MAR_3,OCC_6,REL_2,RAC_1,GEN_0,0,0,45,NAT_0,INC_0
21,WOR_0,335570,EDU_3,10,MAR_0,OCC_0,REL_0,RAC_1,GEN_0,0,0,30,NAT_1,INC_0
34,WOR_0,608881,EDU_1,9,MAR_0,OCC_6,REL_2,RAC_0,GEN_0,0,0,40,NAT_0,INC_0
31,WOR_4,130057,EDU_8,14,MAR_1,OCC_8,REL_1,RAC_1,GEN_0,7688,0,60,NAT_0,INC_1
45,WOR_5,74305,EDU_8,14,MAR_1,OCC_5,REL_1,RAC_1,GEN_0,0,0,35,NAT_0,INC_1
36,WOR_0,143486,EDU_7,13,MAR_1,OCC_10,REL_1,RAC_1,GEN_0,0,0,40,NAT_0,INC_1
20,WOR_0,235691,EDU_1,9,MAR_0,OCC_10,REL_3,RAC_1,GEN_0,0,0,40,NAT_0,INC_0
21,WOR_3,74538,EDU_3,10,MAR_0,OCC_9,REL_2,RAC_1,GEN_0,0,0,25,NAT_0,INC_0
19,WOR_0,189574,EDU_1,9,MAR_0,OCC_4,REL_2,RAC_1,GEN_1,0,0,30,NAT_0,INC_0
17,WOR_0,81010,EDU_0,7,MAR_0,OCC_10,REL_0,RAC_1,GEN_1,0,0,20,NAT_0,INC_0
46,WOR_0,101455,EDU_1,9,MAR_1,OCC_7,REL_4,RAC_1,GEN_1,0,0,40,NAT_0,INC_0
27,WOR_0,152951,EDU_1,9,MAR_1,OCC_6,REL_1,RAC_1,GEN_0,0,0,40,NAT_0,INC_0
28,WOR_0,212563,EDU_3,10,MAR_3,OCC_0,REL_3,RAC_0,GEN_1,0,0,25,NAT_0,INC_0
59,WOR_0,144962,EDU_1,9,MAR_2,OCC_0,REL_2,RAC_1,GEN_1,0,0,40,NAT_0,INC_0
50,WOR_2,146015,EDU_1,9,MAR_1,OCC_3,REL_1,RAC_1,GEN_0,0,0,40,NAT_0,INC_1
44,WOR_0,408531,EDU_1,9,MAR_3,OCC_7,REL_3,RAC_1,GEN_1,0,0,40,NAT_0,INC_1
42,WOR_0,175133,EDU_3,10,MAR_0,OCC_0,REL_3,RAC_0,GEN_1,0,0,40,NAT_0,INC_0
23,WOR_0,53513,EDU_7,13,MAR_0,OCC_8,REL_0,RAC_1,GEN_1,0,0,45,NAT_0,INC_0
47,WOR_0,209739,EDU_1,9,MAR_1,OCC_13,REL_1,RAC_1,GEN_0,0,0,40,NAT_0,INC_0
25,WOR_0,399117,EDU_10,3,MAR_1,OCC_4,REL_1,RAC_1,GEN_0,0,0,40,NAT_4,INC_0
22,WOR_0,388247,EDU_3,10,MAR_0,OCC_10,REL_0,RAC_1,GEN_0,0,0,40,NAT_0,INC_0
41,WOR_0,287581,EDU_7,13,MAR_1,OCC_8,REL_1,RAC_1,GEN_0,7688,0,45,NAT_0,INC_1
55,WOR_1,171328,EDU_3,10,MAR_5,OCC_7,REL_3,RAC_0,GEN_1,0,0,35,NAT_0,INC_0
34,WOR_1,62463,EDU_3,10,MAR_1,OCC_12,REL_1,RAC_1,GEN_0,0,1579,40,NAT_0,INC_0
28,WOR_0,334032,EDU_11,11,MAR_1,OCC_6,REL_1,RAC_1,GEN_0,0,0,50,NAT_0,INC_0
51,WOR_1,176751,EDU_7,13,MAR_1,OCC_5,REL_1,RAC_1,GEN_0,0,1902,40,NAT_0,INC_1
25,WOR_0,281627,EDU_8,14,MAR_0,OCC_5,REL_2,RAC_1,GEN_1,0,0,40,NAT_0,INC_0
46,WOR_3,214627,EDU_7,13,MAR_1,OCC_10,REL_1,RAC_1,GEN_0,0,1977,45,NAT_0,INC_1
19,WOR_0,38619,EDU_0,7,MAR_0,OCC_0,REL_2,RAC_1,GEN_0,0,0,10,NAT_0,INC_0
67,WOR_3,252842,EDU_1,9,MAR_1,OCC_1,REL_1,RAC_1,GEN_0,1797,0,20,NAT_0,INC_0
43,WOR_0,397280,EDU_2,12,MAR_0,OCC_5,REL_2,RAC_1,GEN_0,0,0,50,NAT_0,INC_1
21,WOR_0,311570,EDU_2,12,MAR_0,OCC_9,REL_0,RAC_1,GEN_1,0,0,35,NAT_0,INC_0
40,WOR_0,283174,EDU_11,11,MAR_1,OCC_1,REL_1,RAC_1,GEN_0,0,0,60,NAT_0,INC_0
45,WOR_0,242552,EDU_3,10,MAR_0,OCC_10,REL_2,RAC_0,GEN_0,0,0,40,NAT_0,INC_0
20,WOR_0,91819,EDU_3,10,MAR_0,OCC_13,REL_0,RAC_1,GEN_0,0,0,20,NAT_0,INC_0
25,WOR_0,96268,EDU_0,7,MAR_3,OCC_8,REL_3,RAC_1,GEN_1,0,0,40,NAT_0,INC_0
25,WOR_0,245121,EDU_1,9,MAR_1,OCC_4,REL_4,RAC_0,GEN_1,0,0,40,NAT_0,INC_0
24,WOR_1,234108,EDU_3,10,MAR_0,OCC_2,REL_2,RAC_1,GEN_0,0,0,40,NAT_0,INC_0
66,WOR_0,97847,EDU_11,11,MAR_1,OCC_6,REL_1,RAC_1,GEN_0,0,0,38,NAT_0,INC_0
21,WOR_2,301853,EDU_3,10,MAR_0,OCC_3,REL_0,RAC_1,GEN_0,0,0,40,NAT_0,INC_0
42,WOR_0,403187,EDU_1,9,MAR_3,OCC_13,REL_3,RAC_0,GEN_1,0,0,40,NAT_0,INC_0
52,WOR_0,245275,EDU_4,6,MAR_1,OCC_4,REL_4,RAC_1,GEN_1,0,0,35,NAT_0,INC_0
