synindex,Target,Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad
7,0,31,EMP_1,GRA_0,1100000,3,0,FRE_1,EVE_0
8,0,34,EMP_1,GRA_0,1750000,4,0,FRE_0,EVE_0
9,0,32,EMP_0,GRA_0,800000,6,0,FRE_0,EVE_0
10,1,34,EMP_1,GRA_0,1500000,4,0,FRE_1,EVE_1
11,1,28,EMP_1,GRA_1,550000,5,0,FRE_0,EVE_0
12,1,26,EMP_0,GRA_0,1450000,4,0,FRE_1,EVE_1
13,1,25,EMP_1,GRA_1,1700000,3,0,FRE_1,EVE_0
14,1,25,EMP_1,GRA_0,1750000,5,0,FRE_0,EVE_1
15,1,30,EMP_1,GRA_1,800000,4,0,FRE_0,EVE_0
16,1,28,EMP_1,GRA_0,1100000,4,0,FRE_0,EVE_0
17,1,31,EMP_1,GRA_0,1250000,6,0,FRE_0,EVE_0
18,1,26,EMP_1,GRA_0,1500000,3,1,FRE_1,EVE_1
19,1,26,EMP_1,GRA_0,1400000,4,0,FRE_0,EVE_1
0,0,29,EMP_1,GRA_0,600000,4,0,FRE_0,EVE_0
1,0,31,EMP_0,GRA_0,400000,5,0,FRE_1,EVE_0
2,0,28,EMP_1,GRA_0,700000,3,0,FRE_0,EVE_0
3,0,26,EMP_1,GRA_0,500000,6,0,FRE_0,EVE_0
4,0,34,EMP_1,GRA_0,1050000,5,0,FRE_1,EVE_0
5,0,28,EMP_1,GRA_0,800000,4,0,FRE_0,EVE_0
6,0,27,EMP_0,GRA_0,500000,7,0,FRE_0,EVE_0
7,0,29,EMP_1,GRA_0,900000,5,0,FRE_0,EVE_0
8,0,32,EMP_0,GRA_0,650000,6,0,FRE_1,EVE_0
9,0,28,EMP_1,GRA_0,550000,5,0,FRE_0,EVE_0
10,1,34,EMP_1,GRA_0,1500000,3,0,FRE_1,EVE_1
11,1,28,EMP_1,GRA_0,1200000,6,0,FRE_1,EVE_0
12,1,31,EMP_1,GRA_0,1350000,4,0,FRE_0,EVE_1
13,1,25,EMP_1,GRA_0,1400000,7,0,FRE_1,EVE_1
14,1,34,EMP_1,GRA_0,1000000,5,0,FRE_0,EVE_0
15,1,28,EMP_1,GRA_0,500000,8,0,FRE_0,EVE_0
16,1,30,EMP_1,GRA_1,1450000,4,1,FRE_1,EVE_1
17,1,31,EMP_1,GRA_0,1400000,5,0,FRE_1,EVE_1
18,1,26,EMP_1,GRA_0,1500000,6,0,FRE_1,EVE_1
19,1,34,EMP_1,GRA_0,1300000,7,0,FRE_0,EVE_0
0,0,30,EMP_1,GRA_1,500000,4,0,FRE_0,EVE_0
1,0,28,EMP_1,GRA_0,800000,5,1,FRE_0,EVE_0
2,0,29,EMP_1,GRA_0,900000,3,0,FRE_0,EVE_0
3,0,34,EMP_1,GRA_0,1000000,4,0,FRE_0,EVE_0
4,0,31,EMP_1,GRA_0,1250000,5,1,FRE_0,EVE_0
5,0,26,EMP_1,GRA_0,600000,6,0,FRE_0,EVE_0
6,0,28,EMP_1,GRA_0,550000,4,0,FRE_0,EVE_0
7,0,25,EMP_1,GRA_1,1150000,3,0,FRE_0,EVE_0
8,0,34,EMP_1,GRA_0,1050000,5,0,FRE_0,EVE_0
9,0,29,EMP_1,GRA_0,1200000,4,1,FRE_0,EVE_0
10,1,26,EMP_1,GRA_0,1400000,5,0,FRE_1,EVE_1
11,1,34,EMP_1,GRA_0,1500000,6,0,FRE_1,EVE_1
12,1,25,EMP_1,GRA_1,1700000,4,0,FRE_1,EVE_0
13,1,31,EMP_1,GRA_0,1350000,5,0,FRE_0,EVE_1
14,1,29,EMP_1,GRA_0,1200000,3,0,FRE_0,EVE_0
15,1,34,EMP_1,GRA_0,1300000,4,0,FRE_0,EVE_0
16,1,25,EMP_1,GRA_0,1400000,6,0,FRE_1,EVE_1
17,1,31,EMP_1,GRA_0,1400000,5,0,FRE_1,EVE_1
18,1,35,EMP_1,GRA_1,800000,7,0,FRE_0,EVE_0
19,1,26,EMP_1,GRA_0,1400000,4,0,FRE_0,EVE_1
0,0,29,EMP_1,GRA_0,500000,3,1,FRE_0,EVE_0
1,0,27,EMP_0,GRA_0,850000,2,0,FRE_0,EVE_0
2,0,28,EMP_0,GRA_0,300000,5,0,FRE_0,EVE_0
3,0,28,EMP_1,GRA_0,650000,5,0,FRE_0,EVE_1
4,0,32,EMP_0,GRA_0,800000,6,0,FRE_1,EVE_0
5,0,34,EMP_1,GRA_1,1300000,4,0,FRE_0,EVE_0
6,0,29,EMP_1,GRA_0,1200000,4,0,FRE_0,EVE_0
7,0,34,EMP_1,GRA_0,700000,3,1,FRE_0,EVE_0
8,0,32,EMP_0,GRA_0,800000,6,1,FRE_0,EVE_0
9,0,32,EMP_0,GRA_0,350000,4,1,FRE_0,EVE_0
10,0,28,EMP_0,GRA_0,300000,7,1,FRE_0,EVE_0
11,0,30,EMP_1,GRA_1,800000,4,0,FRE_0,EVE_0
12,0,28,EMP_0,GRA_0,600000,3,0,FRE_0,EVE_0
13,0,34,EMP_1,GRA_0,1050000,5,0,FRE_0,EVE_0
14,0,28,EMP_0,GRA_0,1200000,5,1,FRE_0,EVE_0
15,1,26,EMP_1,GRA_0,1400000,5,0,FRE_0,EVE_1
16,1,28,EMP_1,GRA_0,1200000,5,0,FRE_1,EVE_0
17,1,30,EMP_1,GRA_1,650000,6,1,FRE_0,EVE_0
18,1,29,EMP_1,GRA_0,1050000,3,0,FRE_0,EVE_0
19,1,29,EMP_1,GRA_0,900000,9,1,FRE_0,EVE_0
0,0,29,EMP_1,GRA_0,1100000,4,0,FRE_0,EVE_0
1,0,31,EMP_0,GRA_0,400000,5,1,FRE_0,EVE_0
2,0,28,EMP_1,GRA_0,700000,3,0,FRE_0,EVE_0
3,0,34,EMP_1,GRA_0,1000000,6,1,FRE_0,EVE_0
4,0,30,EMP_1,GRA_1,650000,4,0,FRE_0,EVE_0
5,0,27,EMP_0,GRA_0,500000,3,1,FRE_0,EVE_0
6,0,33,EMP_1,GRA_0,750000,5,0,FRE_0,EVE_0
7,0,28,EMP_1,GRA_0,800000,4,0,FRE_0,EVE_0
8,0,31,EMP_0,GRA_0,1200000,3,1,FRE_0,EVE_0
9,0,30,EMP_1,GRA_1,550000,6,0,FRE_0,EVE_0
10,1,31,EMP_1,GRA_0,1350000,4,0,FRE_0,EVE_1
11,1,28,EMP_0,GRA_0,1200000,5,0,FRE_0,EVE_0
12,1,34,EMP_1,GRA_0,1500000,4,1,FRE_1,EVE_1
13,1,35,EMP_1,GRA_1,800000,5,0,FRE_1,EVE_0
14,1,26,EMP_1,GRA_0,1400000,3,1,FRE_0,EVE_1
15,1,28,EMP_1,GRA_0,700000,4,0,FRE_0,EVE_0
16,1,34,EMP_1,GRA_0,1300000,5,0,FRE_0,EVE_0
17,1,31,EMP_1,GRA_0,1350000,6,0,FRE_0,EVE_1
18,1,33,EMP_0,GRA_0,400000,4,1,FRE_0,EVE_0
19,1,25,EMP_1,GRA_0,1700000,5,0,FRE_1,EVE_0
0,0,28,EMP_1,GRA_0,750000,5,0,FRE_0,EVE_0
1,0,29,EMP_1,GRA_0,1100000,6,0,FRE_1,EVE_0
2,0,34,EMP_1,GRA_0,1300000,4,1,FRE_0,EVE_0
3,0,26,EMP_1,GRA_0,600000,7,0,FRE_0,EVE_0
4,0,31,EMP_1,GRA_0,1250000,5,0,FRE_0,EVE_1
5,0,28,EMP_1,GRA_0,800000,6,1,FRE_0,EVE_0
6,0,33,EMP_1,GRA_0,550000,5,0,FRE_1,EVE_0
7,0,27,EMP_1,GRA_1,800000,4,0,FRE_0,EVE_0
8,0,29,EMP_1,GRA_0,600000,4,1,FRE_1,EVE_0
9,0,28,EMP_1,GRA_0,1150000,7,0,FRE_0,EVE_0
10,1,31,EMP_1,GRA_0,1350000,6,0,FRE_0,EVE_1
11,1,28,EMP_1,GRA_0,800000,5,1,FRE_0,EVE_0
12,1,34,EMP_1,GRA_0,700000,6,0,FRE_1,EVE_1
13,1,26,EMP_1,GRA_0,1400000,7,1,FRE_1,EVE_1
14,1,31,EMP_0,GRA_0,1500000,6,0,FRE_1,EVE_1
15,1,28,EMP_1,GRA_0,1100000,3,0,FRE_0,EVE_0
16,1,33,EMP_1,GRA_0,1500000,4,0,FRE_1,EVE_1
17,1,34,EMP_1,GRA_0,1000000,6,1,FRE_0,EVE_0
18,1,25,EMP_1,GRA_0,1700000,4,0,FRE_1,EVE_0
19,1,26,EMP_1,GRA_0,1500000,3,0,FRE_1,EVE_1
0,0,28,EMP_1,GRA_0,750000,4,0,FRE_0,EVE_0
1,0,29,EMP_1,GRA_0,1150000,5,1,FRE_0,EVE_1
2,0,27,EMP_1,GRA_1,450000,6,0,FRE_0,EVE_0
3,0,35,EMP_0,GRA_0,1100000,3,1,FRE_0,EVE_0
4,0,28,EMP_1,GRA_0,1300000,5,1,FRE_0,EVE_0
5,0,28,EMP_0,GRA_0,300000,7,1,FRE_0,EVE_0
6,0,30,EMP_1,GRA_1,650000,4,0,FRE_0,EVE_0
7,0,28,EMP_1,GRA_0,800000,7,0,FRE_0,EVE_0
8,0,35,EMP_1,GRA_1,800000,5,0,FRE_0,EVE_0
9,0,27,EMP_0,GRA_0,750000,6,0,FRE_0,EVE_0
10,0,31,EMP_0,GRA_1,1750000,3,0,FRE_0,EVE_0
11,0,31,EMP_1,GRA_0,950000,6,1,FRE_0,EVE_0
12,0,28,EMP_1,GRA_0,800000,6,1,FRE_0,EVE_0
13,0,32,EMP_0,GRA_0,900000,5,0,FRE_0,EVE_0
14,0,27,EMP_1,GRA_1,450000,8,0,FRE_0,EVE_0
15,1,33,EMP_1,GRA_0,1400000,5,0,FRE_0,EVE_1
16,1,33,EMP_0,GRA_0,1100000,9,0,FRE_0,EVE_0
17,1,31,EMP_1,GRA_0,1400000,4,0,FRE_1,EVE_1
18,1,33,EMP_1,GRA_0,1500000,4,0,FRE_1,EVE_1
19,1,28,EMP_1,GRA_0,1450000,5,0,FRE_1,EVE_1
0,0,28,EMP_1,GRA_0,800000,4,0,FRE_0,EVE_0
1,0,29,EMP_1,GRA_0,1200000,5,1,FRE_0,EVE_0
2,0,27,EMP_1,GRA_1,800000,5,0,FRE_1,EVE_0
3,0,27,EMP_0,GRA_0,500000,7,0,FRE_0,EVE_0
4,0,31,EMP_0,GRA_1,300000,7,0,FRE_0,EVE_0
5,0,27,EMP_0,GRA_0,850000,7,1,FRE_1,EVE_0
6,0,30,EMP_1,GRA_1,550000,5,0,FRE_0,EVE_0
7,0,33,EMP_0,GRA_0,1000000,4,0,FRE_1,EVE_1
8,0,26,EMP_1,GRA_0,600000,6,0,FRE_0,EVE_0
9,0,29,EMP_1,GRA_0,1200000,4,1,FRE_0,EVE_0
10,1,32,EMP_0,GRA_0,650000,3,0,FRE_0,EVE_0
11,1,33,EMP_1,GRA_0,1500000,5,1,FRE_1,EVE_1
12,1,33,EMP_1,GRA_0,1400000,3,0,FRE_0,EVE_1
13,1,30,EMP_1,GRA_1,1450000,7,0,FRE_1,EVE_1
14,1,26,EMP_1,GRA_0,1400000,9,1,FRE_0,EVE_1
15,1,35,EMP_0,GRA_0,900000,4,0,FRE_0,EVE_0
16,1,25,EMP_1,GRA_0,1700000,4,0,FRE_1,EVE_0
17,1,28,EMP_0,GRA_0,1200000,5,1,FRE_0,EVE_0
18,1,25,EMP_1,GRA_0,1800000,6,0,FRE_1,EVE_0
19,1,25,EMP_1,GRA_0,1400000,5,0,FRE_1,EVE_1
0,0,29,EMP_1,GRA_0,1100000,4,0,FRE_0,EVE_0
1,0,31,EMP_0,GRA_0,1200000,5,1,FRE_0,EVE_0
2,0,28,EMP_1,GRA_0,750000,5,1,FRE_0,EVE_0
3,0,34,EMP_1,GRA_0,500000,4,0,FRE_0,EVE_0
4,0,27,EMP_0,GRA_0,500000,4,0,FRE_0,EVE_0
5,1,34,EMP_1,GRA_0,1500000,5,1,FRE_1,EVE_1
6,1,26,EMP_1,GRA_0,500000,4,1,FRE_0,EVE_0
7,1,34,EMP_1,GRA_0,1000000,4,0,FRE_0,EVE_0
8,1,34,EMP_1,GRA_0,500000,7,0,FRE_0,EVE_0
9,1,28,EMP_1,GRA_0,550000,3,0,FRE_0,EVE_0
10,0,28,EMP_1,GRA_0,800000,6,0,FRE_0,EVE_0
11,0,34,EMP_1,GRA_0,1000000,4,0,FRE_0,EVE_0
12,0,29,EMP_1,GRA_0,900000,7,0,FRE_1,EVE_0
13,0,28,EMP_0,GRA_0,600000,4,0,FRE_0,EVE_0
14,0,29,EMP_1,GRA_0,1050000,2,0,FRE_0,EVE_0
15,1,34,EMP_1,GRA_0,1500000,6,0,FRE_1,EVE_1
16,1,34,EMP_0,GRA_0,1300000,9,1,FRE_0,EVE_0
17,1,28,EMP_1,GRA_0,500000,5,0,FRE_0,EVE_0
18,1,25,EMP_1,GRA_1,1700000,3,0,FRE_1,EVE_0
19,1,25,EMP_1,GRA_0,1700000,5,0,FRE_1,EVE_0
0,0,28,EMP_1,GRA_0,800000,4,0,FRE_0,EVE_0
1,0,31,EMP_0,GRA_0,900000,5,0,FRE_0,EVE_0
2,0,29,EMP_1,GRA_0,1100000,3,0,FRE_0,EVE_0
3,0,33,EMP_1,GRA_0,1400000,4,0,FRE_1,EVE_1
4,0,27,EMP_0,GRA_0,750000,6,0,FRE_0,EVE_0
5,0,34,EMP_1,GRA_0,1500000,5,1,FRE_1,EVE_1
6,0,25,EMP_1,GRA_1,600000,4,0,FRE_1,EVE_0
7,0,28,EMP_1,GRA_0,1200000,6,0,FRE_0,EVE_0
8,0,31,EMP_1,GRA_0,1400000,6,0,FRE_0,EVE_1
9,0,33,EMP_0,GRA_0,400000,5,0,FRE_0,EVE_0
10,1,26,EMP_1,GRA_0,1400000,3,0,FRE_0,EVE_1
11,1,34,EMP_1,GRA_0,1500000,6,1,FRE_1,EVE_1
12,1,28,EMP_1,GRA_0,1100000,2,0,FRE_0,EVE_0
13,1,33,EMP_1,GRA_0,1400000,3,0,FRE_0,EVE_1
14,1,25,EMP_1,GRA_0,1700000,4,0,FRE_1,EVE_0
15,1,31,EMP_1,GRA_0,1350000,3,0,FRE_0,EVE_1
16,1,34,EMP_1,GRA_1,1300000,4,0,FRE_0,EVE_0
17,1,33,EMP_0,GRA_0,800000,6,0,FRE_0,EVE_0
18,1,30,EMP_1,GRA_1,550000,4,0,FRE_0,EVE_0
19,1,31,EMP_0,GRA_0,1300000,6,0,FRE_0,EVE_0
0,0,29,EMP_1,GRA_0,1200000,5,0,FRE_0,EVE_0
1,0,28,EMP_1,GRA_0,800000,4,1,FRE_0,EVE_0
2,0,31,EMP_1,GRA_0,1100000,6,0,FRE_1,EVE_0
3,0,26,EMP_1,GRA_0,600000,3,0,FRE_0,EVE_0
4,0,28,EMP_0,GRA_0,300000,4,0,FRE_0,EVE_0
5,1,31,EMP_1,GRA_0,1400000,4,0,FRE_0,EVE_1
6,1,28,EMP_1,GRA_0,800000,7,1,FRE_0,EVE_0
7,1,25,EMP_1,GRA_0,1400000,7,0,FRE_0,EVE_1
8,1,29,EMP_1,GRA_0,900000,7,0,FRE_0,EVE_0
9,1,34,EMP_1,GRA_0,1300000,4,1,FRE_0,EVE_0
10,0,28,EMP_1,GRA_0,1150000,6,1,FRE_0,EVE_0
11,0,28,EMP_1,GRA_0,800000,4,1,FRE_0,EVE_0
12,0,33,EMP_0,GRA_0,1000000,6,0,FRE_1,EVE_0
13,0,28,EMP_1,GRA_0,650000,5,0,FRE_0,EVE_1
14,0,26,EMP_0,GRA_0,500000,4,0,FRE_0,EVE_0
15,1,34,EMP_1,GRA_0,1500000,6,1,FRE_1,EVE_1
16,1,35,EMP_0,GRA_0,1100000,3,1,FRE_0,EVE_0
17,1,28,EMP_1,GRA_0,1450000,4,0,FRE_1,EVE_1
18,1,33,EMP_1,GRA_0,1400000,7,0,FRE_0,EVE_1
19,1,34,EMP_1,GRA_0,1500000,3,0,FRE_1,EVE_1
0,0,28,EMP_1,GRA_0,1100000,4,0,FRE_0,EVE_0
1,0,34,EMP_1,GRA_0,1050000,5,0,FRE_1,EVE_0
2,0,25,EMP_1,GRA_1,1150000,4,1,FRE_0,EVE_0
3,0,29,EMP_1,GRA_0,1050000,3,0,FRE_0,EVE_0
4,0,28,EMP_0,GRA_0,300000,8,0,FRE_0,EVE_0
5,0,27,EMP_0,GRA_0,750000,5,0,FRE_0,EVE_0
6,0,31,EMP_0,GRA_0,400000,5,0,FRE_0,EVE_0
7,0,28,EMP_1,GRA_0,750000,6,0,FRE_1,EVE_0
8,0,28,EMP_1,GRA_0,1150000,4,0,FRE_0,EVE_0
