index,Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,Target
90.0,34,EMP_1,GRA_0,1050000,7,1,FRE_0,EVE_0,1
91.0,28,EMP_1,GRA_0,750000,6,0,FRE_1,EVE_0,0
92.0,32,EMP_0,GRA_0,800000,5,0,FRE_0,EVE_0,0
93.0,34,EMP_0,GRA_0,1300000,2,1,FRE_0,EVE_0,0
94.0,32,EMP_0,GRA_0,850000,6,0,FRE_0,EVE_0,1
95.0,33,EMP_0,GRA_0,400000,5,1,FRE_0,EVE_0,0
96.0,29,EMP_1,GRA_0,1050000,3,1,FRE_1,EVE_0,0
97.0,28,EMP_0,GRA_0,300000,3,1,FRE_0,EVE_0,0
98.0,31,EMP_0,GRA_0,1300000,5,0,FRE_0,EVE_0,0
99.0,35,EMP_1,GRA_1,800000,6,0,FRE_1,EVE_0,1
100.0,33,EMP_1,GRA_0,550000,3,1,FRE_0,EVE_0,1
101.0,25,EMP_1,GRA_1,1150000,4,0,FRE_0,EVE_0,0
102.0,29,EMP_1,GRA_0,1050000,3,0,FRE_0,EVE_0,0
103.0,26,EMP_0,GRA_0,1450000,3,0,FRE_1,EVE_1,1
104.0,30,EMP_1,GRA_1,550000,5,0,FRE_1,EVE_0,1
105.0,30,EMP_1,GRA_1,800000,3,0,FRE_0,EVE_0,0
106.0,31,EMP_1,GRA_0,1250000,3,0,FRE_0,EVE_1,0
107.0,29,EMP_1,GRA_0,1050000,7,0,FRE_0,EVE_0,0
108.0,31,EMP_0,GRA_0,1300000,3,1,FRE_0,EVE_0,1
109.0,28,EMP_1,GRA_0,900000,6,0,FRE_0,EVE_0,1
110.0,33,EMP_0,GRA_0,1100000,5,0,FRE_0,EVE_0,0
111.0,26,EMP_1,GRA_0,750000,3,0,FRE_0,EVE_0,0
112.0,26,EMP_1,GRA_0,1400000,4,0,FRE_0,EVE_1,1
113.0,28,EMP_1,GRA_0,1250000,5,0,FRE_0,EVE_1,1
114.0,25,EMP_0,GRA_0,750000,2,0,FRE_1,EVE_0,0
115.0,31,EMP_0,GRA_0,1500000,2,0,FRE_1,EVE_1,1
116.0,26,EMP_1,GRA_0,600000,6,0,FRE_1,EVE_0,0
117.0,33,EMP_1,GRA_0,1400000,3,0,FRE_0,EVE_1,1
118.0,28,EMP_1,GRA_0,1450000,4,0,FRE_1,EVE_1,1
119.0,33,EMP_0,GRA_0,1100000,4,0,FRE_0,EVE_0,0
120.0,28,EMP_1,GRA_0,1200000,4,0,FRE_1,EVE_0,1
121.0,29,EMP_1,GRA_0,1050000,5,1,FRE_0,EVE_0,0
122.0,33,EMP_0,GRA_0,400000,3,1,FRE_0,EVE_0,1
123.0,28,EMP_0,GRA_0,300000,6,0,FRE_0,EVE_0,0
124.0,28,EMP_1,GRA_0,1200000,5,0,FRE_0,EVE_0,0
125.0,33,EMP_0,GRA_0,1100000,2,0,FRE_1,EVE_0,0
126.0,31,EMP_1,GRA_0,1250000,4,0,FRE_0,EVE_0,0
127.0,29,EMP_1,GRA_0,1100000,3,0,FRE_0,EVE_0,0
128.0,25,EMP_1,GRA_0,1400000,7,0,FRE_0,EVE_1,1
129.0,28,EMP_1,GRA_0,500000,6,0,FRE_0,EVE_0,0
130.0,31,EMP_1,GRA_0,1250000,7,0,FRE_0,EVE_0,0
131.0,34,EMP_1,GRA_0,1500000,4,1,FRE_1,EVE_1,1
132.0,34,EMP_1,GRA_0,1000000,6,0,FRE_1,EVE_0,1
133.0,28,EMP_1,GRA_0,1100000,5,0,FRE_0,EVE_0,0
134.0,31,EMP_0,GRA_0,1300000,4,0,FRE_0,EVE_0,0
135.0,25,EMP_1,GRA_1,1350000,6,0,FRE_0,EVE_1,1
136.0,28,EMP_1,GRA_0,800000,4,0,FRE_0,EVE_0,0
137.0,31,EMP_0,GRA_0,1500000,4,1,FRE_1,EVE_1,1
138.0,26,EMP_1,GRA_0,450000,4,0,FRE_0,EVE_0,0
139.0,27,EMP_0,GRA_0,850000,7,0,FRE_1,EVE_0,0
140.0,34,EMP_1,GRA_0,1300000,6,0,FRE_0,EVE_0,1
141.0,31,EMP_1,GRA_0,1250000,3,0,FRE_0,EVE_0,0
142.0,34,EMP_1,GRA_0,1000000,3,0,FRE_0,EVE_0,0
143.0,27,EMP_0,GRA_0,900000,5,0,FRE_0,EVE_0,0
144.0,28,EMP_1,GRA_1,550000,6,0,FRE_0,EVE_0,1
145.0,33,EMP_1,GRA_0,1750000,6,0,FRE_0,EVE_0,1
146.0,35,EMP_1,GRA_1,800000,5,0,FRE_0,EVE_0,0
147.0,26,EMP_1,GRA_0,500000,3,0,FRE_0,EVE_0,0
148.0,28,EMP_0,GRA_0,1100000,4,1,FRE_0,EVE_0,0
149.0,33,EMP_0,GRA_0,400000,9,1,FRE_0,EVE_0,1
150.0,34,EMP_1,GRA_0,1000000,5,0,FRE_1,EVE_0,0
151.0,29,EMP_1,GRA_0,1200000,4,0,FRE_1,EVE_0,0
152.0,26,EMP_1,GRA_0,1300000,4,1,FRE_0,EVE_0,0
153.0,28,EMP_1,GRA_0,1400000,4,0,FRE_1,EVE_1,0
154.0,32,EMP_0,GRA_0,350000,3,0,FRE_0,EVE_1,0
155.0,34,EMP_1,GRA_0,1000000,3,0,FRE_0,EVE_0,0
156.0,26,EMP_1,GRA_0,500000,3,0,FRE_0,EVE_0,0
157.0,29,EMP_1,GRA_0,900000,3,0,FRE_0,EVE_0,1
158.0,29,EMP_1,GRA_0,900000,3,0,FRE_0,EVE_0,0
159.0,26,EMP_1,GRA_0,1400000,4,1,FRE_0,EVE_1,1
160.0,27,EMP_1,GRA_1,800000,7,1,FRE_0,EVE_0,0
161.0,28,EMP_0,GRA_1,300000,5,1,FRE_0,EVE_0,0
162.0,25,EMP_1,GRA_0,1400000,4,0,FRE_0,EVE_1,1
163.0,28,EMP_1,GRA_0,750000,4,0,FRE_0,EVE_0,1
164.0,30,EMP_1,GRA_1,550000,5,1,FRE_0,EVE_0,1
165.0,29,EMP_1,GRA_0,1200000,4,0,FRE_0,EVE_0,0
166.0,34,EMP_1,GRA_0,1300000,4,0,FRE_0,EVE_0,0
167.0,33,EMP_1,GRA_0,1400000,8,1,FRE_0,EVE_1,1
168.0,25,EMP_1,GRA_1,1150000,2,0,FRE_0,EVE_1,0
169.0,29,EMP_1,GRA_0,1100000,4,1,FRE_0,EVE_0,0
170.0,28,EMP_0,GRA_0,300000,7,1,FRE_0,EVE_0,0
171.0,28,EMP_0,GRA_0,300000,4,0,FRE_0,EVE_0,0
172.0,28,EMP_1,GRA_0,700000,2,1,FRE_0,EVE_0,0
173.0,25,EMP_1,GRA_0,1400000,6,0,FRE_1,EVE_1,1
174.0,34,EMP_1,GRA_0,1000000,3,0,FRE_1,EVE_0,0
175.0,28,EMP_1,GRA_0,1150000,2,0,FRE_0,EVE_0,1
176.0,32,EMP_0,GRA_0,350000,3,1,FRE_0,EVE_1,1
177.0,28,EMP_1,GRA_0,1250000,9,1,FRE_0,EVE_0,0
178.0,32,EMP_0,GRA_0,800000,3,0,FRE_1,EVE_0,1
179.0,28,EMP_1,GRA_0,700000,4,1,FRE_0,EVE_0,1
180.0,28,EMP_1,GRA_0,800000,6,0,FRE_0,EVE_0,0
181.0,32,EMP_0,GRA_0,350000,3,0,FRE_0,EVE_0,0
182.0,28,EMP_1,GRA_0,1150000,4,1,FRE_0,EVE_0,0
183.0,34,EMP_1,GRA_0,700000,3,1,FRE_0,EVE_0,0
184.0,35,EMP_1,GRA_1,800000,4,0,FRE_0,EVE_0,0
185.0,31,EMP_0,GRA_0,400000,5,0,FRE_0,EVE_0,0
186.0,34,EMP_1,GRA_0,850000,5,0,FRE_0,EVE_0,0
187.0,28,EMP_1,GRA_0,550000,8,1,FRE_0,EVE_0,0
188.0,29,EMP_1,GRA_0,1200000,7,1,FRE_0,EVE_0,0
189.0,28,EMP_1,GRA_0,600000,3,0,FRE_0,EVE_0,0
190.0,26,EMP_1,GRA_0,450000,3,0,FRE_0,EVE_0,0
191.0,33,EMP_1,GRA_0,1500000,3,0,FRE_1,EVE_1,1
192.0,33,EMP_1,GRA_0,550000,5,0,FRE_0,EVE_0,0
193.0,34,EMP_1,GRA_0,1300000,2,0,FRE_0,EVE_0,0
194.0,28,EMP_1,GRA_0,700000,3,0,FRE_0,EVE_0,1
195.0,31,EMP_1,GRA_0,1250000,4,0,FRE_0,EVE_1,0
196.0,28,EMP_1,GRA_0,800000,5,1,FRE_0,EVE_0,0
197.0,29,EMP_1,GRA_0,900000,4,0,FRE_0,EVE_0,0
198.0,28,EMP_1,GRA_0,1100000,9,0,FRE_0,EVE_0,0
199.0,25,EMP_1,GRA_0,500000,5,1,FRE_0,EVE_0,0
200.0,28,EMP_0,GRA_0,300000,7,0,FRE_0,EVE_0,0
201.0,26,EMP_1,GRA_0,1400000,4,1,FRE_0,EVE_1,1
202.0,34,EMP_1,GRA_0,500000,4,0,FRE_0,EVE_0,0
203.0,28,EMP_1,GRA_0,800000,6,1,FRE_0,EVE_0,0
204.0,30,EMP_1,GRA_1,800000,4,0,FRE_0,EVE_0,0
205.0,28,EMP_1,GRA_0,1250000,3,1,FRE_0,EVE_0,1
206.0,25,EMP_1,GRA_1,1700000,3,0,FRE_1,EVE_0,1
207.0,27,EMP_0,GRA_0,500000,6,1,FRE_0,EVE_0,0
208.0,34,EMP_1,GRA_0,1000000,5,0,FRE_0,EVE_0,0
209.0,25,EMP_1,GRA_0,1800000,6,0,FRE_1,EVE_0,1
210.0,28,EMP_1,GRA_0,800000,8,1,FRE_0,EVE_0,0
211.0,35,EMP_0,GRA_0,900000,7,0,FRE_0,EVE_0,1
212.0,27,EMP_0,GRA_0,850000,3,0,FRE_0,EVE_0,1
213.0,27,EMP_0,GRA_0,1050000,3,0,FRE_1,EVE_0,1
214.0,26,EMP_1,GRA_0,1500000,7,0,FRE_1,EVE_1,0
215.0,29,EMP_1,GRA_0,350000,9,1,FRE_0,EVE_0,0
216.0,28,EMP_1,GRA_0,550000,6,1,FRE_0,EVE_0,0
217.0,35,EMP_0,GRA_0,1100000,3,1,FRE_0,EVE_0,1
218.0,26,EMP_1,GRA_0,600000,3,0,FRE_1,EVE_0,0
219.0,28,EMP_1,GRA_0,700000,4,0,FRE_1,EVE_0,0
220.0,31,EMP_0,GRA_1,400000,3,0,FRE_0,EVE_0,0
221.0,29,EMP_1,GRA_0,1100000,5,0,FRE_1,EVE_0,0
222.0,28,EMP_1,GRA_0,600000,3,0,FRE_0,EVE_0,1
223.0,26,EMP_0,GRA_0,1450000,7,0,FRE_1,EVE_1,1
224.0,26,EMP_1,GRA_0,1300000,7,0,FRE_0,EVE_0,1
225.0,31,EMP_1,GRA_0,1350000,7,0,FRE_1,EVE_1,1
226.0,25,EMP_1,GRA_0,1700000,5,0,FRE_1,EVE_0,1
227.0,29,EMP_1,GRA_0,1200000,7,0,FRE_0,EVE_0,1
228.0,31,EMP_0,GRA_1,300000,4,0,FRE_0,EVE_0,0
229.0,29,EMP_1,GRA_0,500000,3,1,FRE_0,EVE_0,1
230.0,28,EMP_1,GRA_0,600000,5,0,FRE_0,EVE_1,1
231.0,30,EMP_1,GRA_1,800000,6,0,FRE_1,EVE_0,0
232.0,33,EMP_0,GRA_0,800000,3,0,FRE_0,EVE_0,0
233.0,29,EMP_1,GRA_0,1100000,3,1,FRE_0,EVE_0,0
234.0,31,EMP_1,GRA_0,1400000,3,0,FRE_0,EVE_1,1
235.0,31,EMP_1,GRA_0,900000,5,0,FRE_0,EVE_0,0
236.0,29,EMP_1,GRA_0,900000,7,0,FRE_0,EVE_0,0
237.0,29,EMP_1,GRA_0,1350000,8,0,FRE_0,EVE_1,1
238.0,28,EMP_1,GRA_0,1150000,8,1,FRE_0,EVE_0,0
239.0,29,EMP_1,GRA_0,1050000,4,0,FRE_1,EVE_0,0
240.0,34,EMP_1,GRA_1,1400000,4,0,FRE_0,EVE_1,1
241.0,31,EMP_0,GRA_0,400000,9,1,FRE_0,EVE_0,0
242.0,31,EMP_1,GRA_0,1250000,4,1,FRE_0,EVE_0,0
243.0,34,EMP_1,GRA_0,1300000,3,0,FRE_1,EVE_0,0
244.0,26,EMP_1,GRA_0,600000,6,0,FRE_1,EVE_0,0
245.0,28,EMP_1,GRA_0,500000,5,0,FRE_0,EVE_0,0
246.0,34,EMP_1,GRA_0,1300000,3,0,FRE_0,EVE_1,0
247.0,30,EMP_1,GRA_1,1450000,7,0,FRE_1,EVE_1,1
248.0,31,EMP_1,GRA_0,500000,6,0,FRE_0,EVE_0,0
249.0,25,EMP_1,GRA_1,1700000,3,1,FRE_1,EVE_0,0
250.0,28,EMP_0,GRA_0,300000,4,0,FRE_0,EVE_0,0
251.0,29,EMP_1,GRA_0,350000,4,0,FRE_0,EVE_0,0
252.0,34,EMP_1,GRA_0,1500000,5,0,FRE_1,EVE_1,1
253.0,33,EMP_1,GRA_0,1400000,7,0,FRE_0,EVE_1,1
254.0,28,EMP_1,GRA_1,550000,6,0,FRE_0,EVE_0,0
255.0,29,EMP_1,GRA_0,1100000,9,0,FRE_0,EVE_0,0
256.0,28,EMP_1,GRA_0,1200000,4,0,FRE_0,EVE_0,1
257.0,27,EMP_0,GRA_0,1050000,7,0,FRE_0,EVE_0,1
258.0,31,EMP_0,GRA_1,300000,9,1,FRE_0,EVE_0,0
259.0,28,EMP_1,GRA_0,1150000,6,1,FRE_0,EVE_0,0
260.0,34,EMP_1,GRA_0,1500000,5,1,FRE_1,EVE_1,1
261.0,29,EMP_1,GRA_0,1200000,7,0,FRE_0,EVE_0,0
262.0,26,EMP_1,GRA_0,1500000,5,1,FRE_1,EVE_1,1
263.0,25,EMP_1,GRA_1,1700000,5,0,FRE_1,EVE_1,1
264.0,29,EMP_1,GRA_0,500000,3,0,FRE_0,EVE_0,0
265.0,35,EMP_0,GRA_0,900000,3,1,FRE_0,EVE_0,0
266.0,35,EMP_1,GRA_1,800000,6,1,FRE_0,EVE_0,1
267.0,32,EMP_0,GRA_0,800000,4,0,FRE_0,EVE_0,0
268.0,31,EMP_0,GRA_1,300000,7,0,FRE_0,EVE_0,0
269.0,28,EMP_1,GRA_0,1200000,4,0,FRE_0,EVE_0,0
270.0,28,EMP_1,GRA_0,1150000,4,0,FRE_0,EVE_0,0
271.0,27,EMP_0,GRA_0,500000,5,0,FRE_0,EVE_0,0
272.0,26,EMP_1,GRA_0,1400000,3,0,FRE_0,EVE_1,1
273.0,28,EMP_1,GRA_1,550000,3,0,FRE_0,EVE_0,0
274.0,25,EMP_1,GRA_0,1700000,3,0,FRE_1,EVE_0,1
275.0,31,EMP_1,GRA_0,1250000,4,0,FRE_0,EVE_0,0
276.0,28,EMP_1,GRA_0,700000,5,0,FRE_0,EVE_0,0
277.0,34,EMP_1,GRA_0,700000,6,0,FRE_1,EVE_1,1
278.0,34,EMP_1,GRA_0,1000000,5,0,FRE_0,EVE_0,0
279.0,29,EMP_1,GRA_0,600000,3,1,FRE_0,EVE_0,0
280.0,31,EMP_0,GRA_0,1200000,4,0,FRE_0,EVE_0,0
281.0,27,EMP_1,GRA_1,800000,6,0,FRE_0,EVE_0,1
282.0,31,EMP_0,GRA_0,400000,6,0,FRE_0,EVE_0,0
283.0,28,EMP_1,GRA_0,500000,6,1,FRE_0,EVE_0,0
284.0,33,EMP_0,GRA_0,700000,3,0,FRE_0,EVE_0,0
285.0,28,EMP_0,GRA_1,300000,6,0,FRE_0,EVE_0,0
286.0,25,EMP_1,GRA_0,1400000,6,0,FRE_0,EVE_1,1
287.0,33,EMP_1,GRA_0,550000,7,1,FRE_1,EVE_0,1
288.0,26,EMP_1,GRA_0,1250000,3,0,FRE_0,EVE_0,0
289.0,30,EMP_1,GRA_1,800000,4,0,FRE_0,EVE_0,0
290.0,34,EMP_1,GRA_1,950000,3,0,FRE_0,EVE_0,0
291.0,28,EMP_1,GRA_1,550000,4,0,FRE_0,EVE_0,0
292.0,29,EMP_1,GRA_0,1100000,3,0,FRE_0,EVE_0,0
293.0,34,EMP_1,GRA_0,1000000,6,0,FRE_1,EVE_1,1
294.0,28,EMP_1,GRA_0,1100000,2,0,FRE_0,EVE_0,1
295.0,26,EMP_1,GRA_0,1400000,7,1,FRE_1,EVE_1,1
296.0,31,EMP_0,GRA_1,400000,4,0,FRE_0,EVE_0,0
297.0,28,EMP_0,GRA_0,300000,6,1,FRE_0,EVE_0,0
298.0,29,EMP_1,GRA_0,500000,6,0,FRE_0,EVE_0,0
299.0,30,EMP_1,GRA_1,500000,3,0,FRE_0,EVE_0,0
300.0,29,EMP_1,GRA_0,600000,8,1,FRE_0,EVE_0,1
301.0,29,EMP_1,GRA_0,1350000,4,0,FRE_0,EVE_1,1
302.0,28,EMP_0,GRA_1,300000,4,0,FRE_0,EVE_0,0
303.0,28,EMP_1,GRA_0,1100000,4,0,FRE_0,EVE_0,0
304.0,34,EMP_1,GRA_0,1050000,4,1,FRE_0,EVE_0,0
305.0,28,EMP_1,GRA_0,500000,5,1,FRE_0,EVE_0,1
306.0,34,EMP_1,GRA_1,1300000,5,0,FRE_0,EVE_0,0
307.0,28,EMP_1,GRA_0,1150000,6,0,FRE_0,EVE_0,0
308.0,28,EMP_1,GRA_0,800000,2,1,FRE_0,EVE_0,0
309.0,33,EMP_0,GRA_0,1100000,8,0,FRE_0,EVE_0,1
310.0,26,EMP_1,GRA_0,1400000,6,0,FRE_0,EVE_1,1
311.0,27,EMP_0,GRA_0,1050000,6,1,FRE_0,EVE_0,0
312.0,30,EMP_1,GRA_1,650000,5,0,FRE_0,EVE_0,0
313.0,34,EMP_1,GRA_0,700000,7,0,FRE_0,EVE_0,1
314.0,32,EMP_0,GRA_0,350000,5,0,FRE_0,EVE_0,0
315.0,28,EMP_1,GRA_0,700000,8,1,FRE_1,EVE_0,0
316.0,28,EMP_1,GRA_0,1100000,3,0,FRE_0,EVE_0,0
317.0,34,EMP_1,GRA_0,1000000,3,0,FRE_0,EVE_0,0
318.0,34,EMP_1,GRA_0,1300000,3,0,FRE_0,EVE_0,0
319.0,31,EMP_0,GRA_0,1200000,6,0,FRE_0,EVE_0,0
320.0,33,EMP_0,GRA_0,400000,4,0,FRE_0,EVE_0,0
321.0,28,EMP_1,GRA_0,1150000,3,0,FRE_0,EVE_0,0
322.0,34,EMP_1,GRA_0,700000,2,0,FRE_0,EVE_0,0
323.0,28,EMP_1,GRA_1,550000,4,0,FRE_0,EVE_0,0
324.0,28,EMP_1,GRA_0,1200000,5,0,FRE_0,EVE_0,0
325.0,29,EMP_1,GRA_0,1200000,4,0,FRE_0,EVE_0,0
326.0,34,EMP_1,GRA_0,1050000,5,0,FRE_0,EVE_0,0
327.0,35,EMP_0,GRA_0,1100000,2,1,FRE_0,EVE_0,0
328.0,34,EMP_1,GRA_0,700000,5,0,FRE_0,EVE_0,0
329.0,26,EMP_0,GRA_0,500000,6,1,FRE_0,EVE_0,0
330.0,27,EMP_0,GRA_0,500000,4,0,FRE_0,EVE_0,0
331.0,32,EMP_0,GRA_0,350000,3,0,FRE_0,EVE_0,1
332.0,27,EMP_0,GRA_0,500000,3,1,FRE_0,EVE_0,0
333.0,33,EMP_1,GRA_0,1400000,5,1,FRE_1,EVE_1,1
334.0,33,EMP_1,GRA_0,750000,7,1,FRE_0,EVE_0,1
335.0,28,EMP_0,GRA_0,1200000,3,0,FRE_0,EVE_0,1
336.0,27,EMP_0,GRA_0,1050000,5,1,FRE_0,EVE_0,1
337.0,33,EMP_1,GRA_0,750000,4,0,FRE_0,EVE_0,0
338.0,28,EMP_1,GRA_0,700000,5,0,FRE_1,EVE_0,0
339.0,33,EMP_0,GRA_0,1000000,3,0,FRE_0,EVE_1,0
340.0,34,EMP_1,GRA_0,850000,4,0,FRE_0,EVE_1,0
341.0,26,EMP_0,GRA_0,550000,5,0,FRE_0,EVE_0,1
342.0,34,EMP_1,GRA_0,1000000,4,0,FRE_0,EVE_0,0
343.0,33,EMP_1,GRA_0,750000,3,1,FRE_0,EVE_0,0
344.0,28,EMP_1,GRA_0,1150000,4,0,FRE_0,EVE_0,1
345.0,28,EMP_1,GRA_0,550000,9,0,FRE_0,EVE_0,0
346.0,26,EMP_1,GRA_0,600000,6,1,FRE_0,EVE_0,0
347.0,31,EMP_1,GRA_0,950000,5,0,FRE_0,EVE_0,0
348.0,28,EMP_0,GRA_0,300000,5,0,FRE_0,EVE_0,0
349.0,33,EMP_1,GRA_0,550000,8,0,FRE_0,EVE_0,0
350.0,28,EMP_1,GRA_0,1300000,6,0,FRE_0,EVE_0,0
